GeneID,GeneName,GeneDescription,Dataset
3146,,Alpha-amylase,crz1_thermal_stress
2588,,Avenacinase,crz1_thermal_stress
6936,,Beta-glucosidase,crz1_thermal_stress
692,,FAD dependent oxidoreductase,crz1_thermal_stress
7770,FRE1,Ferric reductase,crz1_thermal_stress
2958,CFO2,Ferroxidase,crz1_thermal_stress
6241,CFO1,Ferroxidase/laccase,crz1_thermal_stress
4514,MPK1,Mitogen-activating protein kinase,crz1_thermal_stress
2194,,AGC/NDR protein kinase,crz1_thermal_stress
1704,,Serine/threonine protein kinase,crz1_thermal_stress
4380,,Peptidase,crz1_thermal_stress
1539,,Myo-inositol-1-phosphate synthase,crz1_thermal_stress
6016,CAP6,"Alpha-1,3-mannosyltransferase",crz1_thermal_stress
4350,,Glycerophosphoryl diester phosphodiesterase,crz1_thermal_stress
2458,,GTPase activating protein,crz1_thermal_stress
5302,,,crz1_thermal_stress
2008,OVA2,,crz1_thermal_stress
4280,,,crz1_thermal_stress
4752,,,crz1_thermal_stress
1854,,Heparinase II/III family protein,crz1_thermal_stress
7638,,,crz1_thermal_stress
1207,,,crz1_thermal_stress
6507,,,crz1_thermal_stress
7873,,MIPC synthase,crz1_thermal_stress
1796,,,crz1_thermal_stress
6473,,,crz1_thermal_stress
6973,,,crz1_thermal_stress
2114,,,crz1_thermal_stress
7723,,,crz1_thermal_stress
1131,,,crz1_thermal_stress
6060,,,crz1_thermal_stress
6347,BLP2,pr4/barwin domain protein,crz1_thermal_stress
3152,,Calcium-binding protein,crz1_thermal_stress
2585,,,crz1_thermal_stress
3857,,,crz1_thermal_stress
4171,,,crz1_thermal_stress
2169,,,crz1_thermal_stress
261,,,crz1_thermal_stress
5864,,,crz1_thermal_stress
274,,,crz1_thermal_stress
6943,,,crz1_thermal_stress
349,,,crz1_thermal_stress
1574,,,crz1_thermal_stress
1070,,Class II aldolase/adducing family protein,crz1_thermal_stress
4355,,,crz1_thermal_stress
7388,,,crz1_thermal_stress
1873,,,crz1_thermal_stress
4796,CNA1,Calcineurin A catalytic subunit ,cna1_thermal_stress
5387,,Galactose transporter ,cna1_thermal_stress
979,CTR4,Copper uptake transporter ,cna1_thermal_stress
3051,,Polyamine transporter ,cna1_thermal_stress
5994,,Multidrug transporter ,cna1_thermal_stress
1936,,Sugar transporter ,cna1_thermal_stress
6020,SSU1,Sulfite efflux pump ,cna1_thermal_stress
1384,,Tartrate transporter,cna1_thermal_stress
6521,,Receptor/ Galactose-proton symporter,cna1_thermal_stress
1925,,Tartrate transporter,cna1_thermal_stress
5662,ITR4,Myo-inositol transporter ,cna1_thermal_stress
3824,MIR1,Phosphate transport protein ,cna1_thermal_stress
4015,,Amino acid transporter ,cna1_thermal_stress
6561,,Allantoate transporter ,cna1_thermal_stress
5993,,Transmembrane transporter Liz1p,cna1_thermal_stress
7641,,Monosaccharide transporter ,cna1_thermal_stress
2586,,Sugar transporter ,cna1_thermal_stress
3912,,Membrane protein ,cna1_thermal_stress
235,AMT1,Ammonium transporter,cna1_thermal_stress
4414,FNX1,Multidrug resistance protein,cna1_thermal_stress
1118,,Amino acid transporter ,cna1_thermal_stress
3061,,Multiple drug resistance protein ,cna1_thermal_stress
1055,,Phospholipid transporter ,cna1_thermal_stress
3910,ITR6,Myo-inositol transporter ,cna1_thermal_stress
4758,AMT2,Ammonium transporter ,cna1_thermal_stress
792,,ATP-binding cassette transporter ,cna1_thermal_stress
5130,,Polyamide transporter ,cna1_thermal_stress
7917,,Uracil transporter FurD ,cna1_thermal_stress
6963,,Sugar transporter ,cna1_thermal_stress
6610,,MSF transporter ,cna1_thermal_stress
796,MDR1,Multidrug resistance protein 1 ,cna1_thermal_stress
904,AFLT,Aflatoxin efflux pump ,cna1_thermal_stress
3772,HXS1,Glucose transporter ,cna1_thermal_stress
6169,,"(R,R)-butanediol dehydrogenase ",cna1_thermal_stress
575,CAT3,Catalase 3 ,cna1_thermal_stress
4981,CAT1,Catalase 1,cna1_thermal_stress
2751,,Short-chain dehydrogenase,cna1_thermal_stress
6759,,Dehydrogenase,cna1_thermal_stress
2577,,Oxidioreductase,cna1_thermal_stress
1102,,Oxidoreductase,cna1_thermal_stress
4926,,,cna1_thermal_stress
4351,,Methylmalonate-semialdehyde dehydrogenase,cna1_thermal_stress
4112,,Oxidoreductase,cna1_thermal_stress
1464,FHB1,Flavohemoglobin,cna1_thermal_stress
4326,,Malate dehydrogenase,cna1_thermal_stress
115,,Chlorophyll synthesis pathway protein BchC,cna1_thermal_stress
5299,,Oxidoreductase,cna1_thermal_stress
3865,,Cytoplasmic protein,cna1_thermal_stress
3874,,Oxidoreductase,cna1_thermal_stress
6081,,Glucose oxidase,cna1_thermal_stress
3555,,Acylglycerone-phosphate reductase ,cna1_thermal_stress
1714,,Sulfonate dioxygenase,cna1_thermal_stress
5444,,NADPH dehydrogenase,cna1_thermal_stress
5644,,2-nitropropane dioxygenase,cna1_thermal_stress
3194,,Saccharopine dehydrogenase,cna1_thermal_stress
4388,SOD2,Mitochondrial manganese superoxide dismutase ,cna1_thermal_stress
7626,,NAD-binding Rossmann fold oxidoreductase,cna1_thermal_stress
4313,,NADPH2 dehydrogenase,cna1_thermal_stress
1264,,Homoisocitrate dehydrogenase,cna1_thermal_stress
6876,,α-ketoglutarate-dependent taurine dioxygenase,cna1_thermal_stress
1627,,Amino oxidase,cna1_thermal_stress
4467,,Succinate-semialdehyde dehydrogenase,cna1_thermal_stress
5329,,Myo-inositol 2-dehydrogenase,cna1_thermal_stress
6250,,,cna1_thermal_stress
6777,,Fructosyl amino acid oxidase,cna1_thermal_stress
5602,,1-pyrroline-5-carboxylate dehydrogenase ,cna1_thermal_stress
6628,,Aldehyde dehydrogenase,cna1_thermal_stress
1075,,Methylmalonate-semialdehyde dehydrogenase,cna1_thermal_stress
5115,,Sarcosine oxidase,cna1_thermal_stress
3998,RLM1,Transcriptional activator,cna1_thermal_stress
4512,,Transcription factor Spt20 homolog-like,cna1_thermal_stress
1847,,,cna1_thermal_stress
4804,SRE1,Sterol regulatory element-binding protein,cna1_thermal_stress
2435,BWC2,White collar 2 transcription factor,cna1_thermal_stress
332,SIP4,,cna1_thermal_stress
627,SOX6,Specific transcriptional repressor,cna1_thermal_stress
3086,FZC20,Fungal specific transcription factor ,cna1_thermal_stress
3849,ASG1,Transcriptional regulator,cna1_thermal_stress
791,HLH1,Transcription factor bHLH041,cna1_thermal_stress
130,HRK1,CAMK/CAMK1 protein kinase ,cna1_thermal_stress
2531,CPK1,CMGC/MAPK/ERK protein kinase ,cna1_thermal_stress
2389,,AGC-group protein kinase ,cna1_thermal_stress
6568,SKS1,RAN protein kinase ,cna1_thermal_stress
5643,,DNA polymerase delta subunit 4,cna1_thermal_stress
6440,,DNA dependent ATPase,cna1_thermal_stress
1013,SWD3,Chromatin binding protein ,cna1_thermal_stress
5374,CTF18,Chromosome transmission fidelity protein 18 ,cna1_thermal_stress
6745,,Histone H3 ,cna1_thermal_stress
3341,MCM2,Minichromosome maintenance protein 2 ,cna1_thermal_stress
4696,,DNA clamp loader ,cna1_thermal_stress
6634,DPB2,DNA polymerase epsilon subunit,cna1_thermal_stress
7909,DCM1,Meiotic recombinaase Dmc1,cna1_thermal_stress
6166,MPH1,ATP-dependent DNA helicase MPH1,cna1_thermal_stress
550,MSH5,DNA mismatch repair protein MSH5,cna1_thermal_stress
519,ERG3,C-5 sterol desaturase ,cna1_thermal_stress
1737,ERG25,C-4 methyl sterol oxidase ,cna1_thermal_stress
6829,ERG1,Squalene monooxygenase ,cna1_thermal_stress
6644,ERG5,C-22 sterol desaturase ,cna1_thermal_stress
3143,,Heat shock protein (12 kDa),cna1_thermal_stress
1446,HSP12,Heat shock protein (12 kDa),cna1_thermal_stress
3228,,Universal stress protein,cna1_thermal_stress
6121,,,cna1_thermal_stress
826,,Glycerone kinase,cna1_thermal_stress
984,,Glucose and ribitol dehydrogenase,cna1_thermal_stress
866,,Transketolase,cna1_thermal_stress
2230,,Phosphoketolase,cna1_thermal_stress
1341,,Mannose-6-phosphate isomerase,cna1_thermal_stress
6291,FPD1,Polysaccharide deacetylase,cna1_thermal_stress
827,,Ribose 5-phosphate isomerase ,cna1_thermal_stress
4025,,Transaldolase ,cna1_thermal_stress
5383,,3-dehydroshikimate dehydratase,cna1_thermal_stress
2986,YSA1,ADP-ribose pyrophosphatase,cna1_thermal_stress
6868,,Phosphopyruvate hydratase,cna1_thermal_stress
4744,,Mannose-6-phosphate isomerase,cna1_thermal_stress
6931,,β-glucosidase,cna1_thermal_stress
6923,XFP2,Xylulose 5-phosphate/fructose 6-posphate phosphoketolase,cna1_thermal_stress
3040,,Transketolase,cna1_thermal_stress
5652,,Cytoplasmic protein ,cna1_thermal_stress
7445,,Transketolase,cna1_thermal_stress
4969,UGD1,UDP-glucose 6-dehydrogenase,cna1_thermal_stress
5264,,Alpha-amylase AmyA ,cna1_thermal_stress
5913,,Alpha-glucosidase,cna1_thermal_stress
2850,,"Glucan endo-1,3-α-glucosidase AGN1",cna1_thermal_stress
6031,KRE63,β-glucan synthase,cna1_thermal_stress
3759,,Conidiation-specific protein 6,cna1_thermal_stress
6238,,Glutathione S-transferase,cna1_thermal_stress
1348,,Cyanate hydratase,cna1_thermal_stress
834,,Phosphatidylserine decarboxylase ,cna1_thermal_stress
3084,,Endoribonuclease L-PSP ,cna1_thermal_stress
1954,,Aldo/keto reductase,cna1_thermal_stress
3958,,,cna1_thermal_stress
5268,,N-acetyltransferase 9-like protein,cna1_thermal_stress
6576,CAR1,cAMP-regulated gene 1,cna1_thermal_stress
2182,GRE2,D-lactaldehyde dehydrogenase ,cna1_thermal_stress
5449,CMT1,Copper metallothionein,cna1_thermal_stress
2781,,Dihydrodipicolinate synthetase family protein ,cna1_thermal_stress
4656,,Arginyl-tRNA-protein transferase ,cna1_thermal_stress
4291,,Glycosyl-hydrolase,cna1_thermal_stress
4067,,"Haloacid dehalogenase, type II",cna1_thermal_stress
4890,,,cna1_thermal_stress
5386,,Glutamate 5-kinase,cna1_thermal_stress
36,,Sec14 cytosolic factor ,cna1_thermal_stress
6500,ARG82,Arginine metabolism transcriptional control protein ,cna1_thermal_stress
2768,,,cna1_thermal_stress
264,,Nuclease 1,cna1_thermal_stress
522,,C2 domain containing protein,cna1_thermal_stress
2417,,Lipase/esterase family protein,cna1_thermal_stress
800,,Nicotinamidase,cna1_thermal_stress
4314,,NAD+ kinase,cna1_thermal_stress
2226,,,cna1_thermal_stress
2722,,Aldose reductase,cna1_thermal_stress
3069,,Hydrolase,cna1_thermal_stress
