ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016491	oxidoreductase activity	430	15	CNAG_00269,CNAG_00735,CNAG_01745,CNAG_01949,CNAG_01952,CNAG_02048,CNAG_02049,CNAG_02775,CNAG_03465,CNAG_03498,CNAG_04523,CNAG_05602,CNAG_06374,CNAG_06524,CNAG_07334,	3.5	4.05	5.8	1.38351407346e-06	1.7985682955e-05	1.7985682955e-05
GO:0016829	lyase activity	97	4	CNAG_03519,CNAG_04217,CNAG_05303,CNAG_06448,	4.1	4.79	5.35	0.00926624357605	0.0602305832443	0.120461166489
GO:0003674	molecular function	3820	38	CNAG_00269,CNAG_00418,CNAG_00735,CNAG_00827,CNAG_00828,CNAG_00886,CNAG_00904,CNAG_01745,CNAG_01930,CNAG_01949,CNAG_01952,CNAG_01965,CNAG_02048,CNAG_02049,CNAG_02083,CNAG_02327,CNAG_02694,CNAG_02775,CNAG_03276,CNAG_03465,CNAG_03498,CNAG_03519,CNAG_04217,CNAG_04291,CNAG_04523,CNAG_05303,CNAG_05333,CNAG_05602,CNAG_05662,CNAG_05803,CNAG_06291,CNAG_06374,CNAG_06448,CNAG_06524,CNAG_06698,CNAG_07334,CNAG_07519,CNAG_07874,	1.0	1.16	2.15	0.0479112558406	0.207615441976	0.622846325927
