gene	geneName	baseMean	log2FC	stderror	padj
CNAG_07676	NA	4312.191	0.068	0.122	0.821
CNAG_07677	NA	34.925	-0.567	0.31	NA
CNAG_07678	NA	28.958	0.079	0.357	NA
CNAG_07679	DST1	562.49	-0.088	0.146	0.8013
CNAG_07680	HAP5	163.653	0.269	0.163	0.3788
CNAG_07681	NA	232.375	0.019	0.151	0.9741
CNAG_07682	NA	98.905	0.261	0.222	NA
CNAG_07685	NA	92.139	0.16	0.222	NA
CNAG_07686	NA	197.998	-0.191	0.209	0.6804
CNAG_07687	NA	7.452	-0.886	0.672	NA
CNAG_07688	NA	233.767	0.042	0.166	0.933
CNAG_07689	NA	955.204	-0.058	0.131	0.8648
CNAG_07690	NA	184.566	0.127	0.172	0.7556
CNAG_07691	NA	44.487	0.549	0.281	NA
CNAG_07692	YND1	319.606	0.194	0.143	0.4952
CNAG_07693	NA	5.773	0.317	0.831	NA
CNAG_07694	NA	185.16	0.306	0.162	0.3025
CNAG_07695	NA	149.369	0.03	0.175	NA
CNAG_07698	NA	4.974	0.015	0.806	NA
CNAG_07699	NA	121.708	0.043	0.184	NA
CNAG_07700	NA	3.55	-2.033	1.057	NA
CNAG_07701	CTR1	598.661	0.782	0.168	5.469e-4
CNAG_07702	NA	41.976	-0.245	0.289	NA
CNAG_07703	NA	60.444	-0.197	0.254	NA
CNAG_07704	NA	2.837	0.288	1.11	NA
CNAG_07706	NA	1.911	0.984	1.412	NA
CNAG_07707	NA	4.202	0.937	0.867	NA
CNAG_07711	NA	2.258	0.094	1.182	NA
CNAG_07712	NA	110.074	-0.195	0.209	NA
CNAG_07715	NA	282.509	0.105	0.154	0.7702
CNAG_07717	NA	467.088	-0.174	0.127	0.4875
CNAG_07718	CIN1	579.519	0.122	0.112	0.6045
CNAG_07719	NA	1557.789	0.035	0.097	0.8957
CNAG_07720	NA	1135.467	-0.096	0.118	0.7194
CNAG_07724	CUF1	801.949	-0.08	0.124	0.7893
CNAG_07725	NA	1.282	0.877	1.553	NA
CNAG_07728	NA	13.234	0.587	0.489	NA
CNAG_07730	NA	28.451	-0.278	0.344	NA
CNAG_07731	NA	148.948	0.319	0.172	NA
CNAG_07732	NA	114.964	-0.038	0.186	NA
CNAG_07735	NA	639.93	0.199	0.116	0.3624
CNAG_07736	NA	111.071	-0.501	0.188	NA
CNAG_07738	NA	0	NA	NA	NA
CNAG_07739	NA	319.282	-0.138	0.137	0.6391
CNAG_07740	HAD2	1015.087	0.101	0.102	0.6465
CNAG_07741	NA	192.178	-0.127	0.156	0.7194
CNAG_07744	PIK1	198.727	-0.041	0.161	0.933
CNAG_07745	MPD1	521.113	0.454	0.145	0.04381
CNAG_07746	NA	2063.932	0.03	0.118	0.9335
CNAG_07747	NA	67.048	0.102	0.227	NA
CNAG_07748	NA	100.526	-0.111	0.195	NA
CNAG_07749	NA	134.316	0.089	0.19	NA
CNAG_07751	NA	283.046	-0.113	0.133	0.711
CNAG_07752	GLF	455.697	-0.198	0.135	0.446
CNAG_07753	NA	0.341	1.962	2.86	NA
CNAG_07754	NA	0	NA	NA	NA
CNAG_07755	NA	10.322	0.276	0.597	NA
CNAG_07756	NA	357.694	0.276	0.129	0.2198
CNAG_07757	NA	97.894	-0.177	0.207	NA
CNAG_07758	NA	57.607	0.139	0.251	NA
CNAG_07759	NA	0.183	1.081	3.903	NA
CNAG_07763	NA	27.103	-0.424	0.348	NA
CNAG_07765	NA	12.227	0.456	0.509	NA
CNAG_07766	NA	77.561	-0.09	0.221	NA
CNAG_07767	NA	23.152	-0.208	0.376	NA
