gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04355	NA	160.923	-0.998	0.162	7.541e-9
CNAG_04356	NA	597.79	-0.041	0.128	0.8227
CNAG_04357	NA	9.742	-0.872	0.591	0.2205
CNAG_04358	ATM1	404.833	0.287	0.121	0.03921
CNAG_04359	NA	194.571	0.627	0.152	1.631e-4
CNAG_04360	NA	138.294	-0.54	0.191	0.01188
CNAG_04361	NA	372.192	0.836	0.144	5.246e-8
CNAG_04362	NA	1964.222	-0.109	0.1	0.388
CNAG_04363	NA	25.189	-0.283	0.372	0.5586
CNAG_04364	NA	1192.814	-0.313	0.119	0.02044
CNAG_04365	NA	468.892	-0.445	0.114	3.636e-4
CNAG_04366	NA	1884.406	-0.582	0.091	1.705e-9
CNAG_04367	NA	112.057	-1.01	0.214	1.216e-5
CNAG_04368	NA	468.248	0.207	0.115	0.1283
CNAG_04369	NA	297.351	-0.093	0.137	0.6079
CNAG_04370	NA	2209.35	-0.268	0.099	0.01618
CNAG_04371	HSV2	348.39	-0.053	0.147	0.7977
CNAG_04372	NA	570.046	-0.663	0.122	3.63e-7
CNAG_04373	NA	3059.945	-0.303	0.118	0.02327
CNAG_04374	NA	78.868	0.813	0.23	0.001394
CNAG_04375	NA	569.966	-0.085	0.117	0.5792
CNAG_04376	NA	484.609	-0.367	0.122	0.00737
CNAG_04377	NA	447.344	0.215	0.117	0.1191
CNAG_04378	NA	1580.235	-0.585	0.105	1.873e-7
CNAG_04379	NA	1999.617	-0.705	0.115	7.776e-9
CNAG_04380	NA	1314.841	-0.015	0.141	0.9439
CNAG_04381	NA	118.712	0.83	0.18	1.965e-5
CNAG_04382	NA	199.465	0.496	0.157	0.004563
CNAG_04383	NA	737.591	-0.501	0.102	4.644e-6
CNAG_04384	NA	217.368	0.015	0.144	0.9456
CNAG_04385	NA	0	NA	NA	NA
CNAG_04386	NA	250.331	0.328	0.168	0.09523
CNAG_04387	NA	242.746	0.844	0.151	1.823e-7
