gene	geneName	baseMean	log2FC	stderror	padj
CNAG_03009	ERG28	271.932	-0.142	0.157	0.5742
CNAG_03010	NA	41.552	-0.32	0.281	0.4618
CNAG_03011	NA	22.802	0.118	0.369	0.8637
CNAG_03012	CQS1	32754.839	0.415	0.14	0.01799
CNAG_03013	OPT1	124.11	0.501	0.193	0.04326
CNAG_03014	CAX4	109.175	-0.203	0.211	0.5466
CNAG_03015	NA	12792.38	-0.628	0.16	0.001097
CNAG_03016	NA	332.083	-0.164	0.136	0.4277
CNAG_03017	NA	441.924	0.059	0.137	0.8073
CNAG_03018	ASG101	59.346	0.512	0.266	0.1601
CNAG_03019	NA	197.02	-0.243	0.159	0.288
CNAG_03020	NA	265.538	-0.047	0.145	0.8629
CNAG_03021	NA	64.319	-0.089	0.258	0.8531
CNAG_03022	NA	111.413	-0.606	0.214	0.0244
CNAG_03023	NA	373.055	0.577	0.16	0.003076
CNAG_03024	RIM15	134.272	0.633	0.198	0.009926
CNAG_03025	NA	682.3	0.139	0.134	0.5091
CNAG_03026	NA	448.514	-0.245	0.155	0.2698
CNAG_03027	NA	364.124	0.172	0.14	0.4188
CNAG_03028	NA	114.235	0.337	0.21	0.2576
CNAG_03031	NA	100.884	-0.059	0.199	0.8759
CNAG_03032	NA	185.739	0.08	0.176	0.7954
CNAG_03033	NA	262	-0.156	0.145	0.4904
CNAG_03034	NA	96.326	0.105	0.201	0.7674
CNAG_03036	NA	211.996	0.006	0.152	0.984
CNAG_03037	NA	359.778	0.123	0.176	0.6783
CNAG_03038	NA	1722.914	-0.251	0.112	0.09073
CNAG_03039	DDI1	360.444	-0.168	0.139	0.43
CNAG_03040	NA	231.769	-0.143	0.193	0.656
CNAG_03041	NA	16.816	-0.74	0.45	0.2463
CNAG_03043	NA	31.665	0.234	0.329	0.6711
CNAG_03044	NA	158.488	-0.469	0.176	0.0361
CNAG_03045	NA	415.513	0.005	0.135	0.9848
CNAG_03046	NA	40.722	-0.081	0.301	0.8873
CNAG_03047	NA	263.676	0.658	0.215	0.01403
CNAG_03048	IRK3	477.507	-0.206	0.153	0.3656
CNAG_03049	NA	1800.62	-0.842	0.147	5.706e-7
CNAG_03050	NA	64.764	0.376	0.24	0.2743
CNAG_03051	NA	44.968	-0.299	0.282	0.497
CNAG_03052	PTC2	826.126	0.143	0.117	0.4241
CNAG_03053	NA	59598.781	-0.455	0.133	0.005446
CNAG_03054	NA	35.674	0.371	0.308	0.4298
CNAG_03055	NA	1141.282	-0.332	0.11	0.01522
CNAG_03056	NA	88.631	-0.284	0.211	0.3674
CNAG_03057	NA	183.173	0.183	0.174	0.5011
CNAG_03058	NA	364.488	0.658	0.17	0.001314
CNAG_03059	NA	149.121	0.298	0.195	0.2896
CNAG_03060	NA	114.558	0.513	0.205	0.05251
CNAG_03061	NA	260.275	0.027	0.177	0.9406
CNAG_03063	NA	265.664	0.588	0.193	0.01443
CNAG_03064	NA	1800.845	-0.116	0.117	0.5315
CNAG_03065	NA	2052.869	-0.261	0.11	0.07021
CNAG_03067	NA	29.719	-0.05	0.359	0.9466
CNAG_03068	NA	137.638	0.788	0.199	0.001003
CNAG_03069	NA	448.962	-0.448	0.175	0.04734
CNAG_03070	NA	155.116	0.417	0.205	0.1311
CNAG_03071	NA	331.454	-0.118	0.143	0.6159
CNAG_03072	NA	18314.059	-0.237	0.103	0.08057
CNAG_03075	NA	125.865	-0.285	0.189	0.2931
CNAG_03076	NA	4.954	0.879	0.776	0.4638
CNAG_03077	NA	0.646	0.025	2.29	NA
CNAG_03078	NPP1	303.817	0.039	0.147	0.8879
CNAG_03079	PER1	116.133	0.177	0.195	0.5721
CNAG_03080	NA	2457.569	-0.11	0.103	0.496
CNAG_03081	NA	576.616	-0.454	0.132	0.005065
CNAG_03082	NA	19.818	-0.036	0.402	0.9652
CNAG_03083	NA	56.866	0.844	0.256	0.007433
CNAG_03084	NA	60.472	0.078	0.246	0.8646
CNAG_03085	NA	2.074	-0.765	1.237	NA
CNAG_03086	FZC20	287.919	0.24	0.149	0.2556
CNAG_03087	NA	9.277	0.947	0.644	0.3111
CNAG_03090	NA	77.746	0.74	0.25	0.01799
CNAG_03091	NA	0.445	-0.695	2.602	NA
CNAG_03092	NA	302.108	0.197	0.156	0.4053
CNAG_03095	NA	2.53	0.403	1.072	NA
CNAG_03096	NA	218.012	0.126	0.166	0.6463
CNAG_03097	NA	39.368	0.271	0.29	0.5616
CNAG_03098	NA	531.972	-0.606	0.165	0.002555
CNAG_03099	CHS1	296.251	0.353	0.159	0.09378
CNAG_03100	NA	212.952	0.069	0.177	0.8317
CNAG_03101	NA	107.3	0.77	0.5	0.2822
CNAG_03102	NA	123.905	-0.107	0.203	0.7653
CNAG_03103	NA	342.403	0.46	0.139	0.007207
CNAG_03104	NA	348.351	-0.6	0.143	4.353e-4
CNAG_03105	NA	56.834	0.436	0.255	0.2238
CNAG_03106	NA	1816.031	-0.472	0.133	0.003577
CNAG_03107	NA	7.367	-1.202	0.671	0.1971
CNAG_03108	NA	184.347	-0.138	0.165	0.6077
CNAG_03109	NA	1367.933	-0.078	0.114	0.6843
CNAG_03110	NA	564.105	0.838	0.155	2.737e-6
CNAG_03113	NA	186.551	0.831	0.161	8.393e-6
CNAG_03114	NA	566.938	0.566	0.14	7.626e-4
CNAG_03115	FZC46	315.2	0.07	0.154	0.7964
CNAG_03116	HCM1	338.797	0.169	0.16	0.4988
CNAG_03117	NA	170.926	0.378	0.166	0.08427
CNAG_03118	NA	100.318	-0.161	0.221	0.6616
CNAG_03119	NA	305.032	-0.038	0.149	0.8949
CNAG_03120	AGS1	1023.656	-0.091	0.125	0.6636
CNAG_03121	NA	175.962	0.364	0.168	0.1028
CNAG_03123	NA	174.295	-0.071	0.176	0.8246
CNAG_03124	NA	526.448	-0.142	0.134	0.4983
CNAG_03125	NA	483.554	0.367	0.14	0.04058
