gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04625	NA	1149.491	-2.637	0.202	4.665e-37
CNAG_04626	NA	22.244	-2.458	0.487	3.735e-6
CNAG_04627	NA	214.407	0.359	0.269	0.2921
CNAG_04628	NA	1305.71	0.319	0.19	0.1722
CNAG_04629	NA	260.204	0.301	0.195	0.2135
CNAG_04630	YAP2	204.452	-0.669	0.198	0.002708
CNAG_04631	RIK1	62.84	-1.113	0.276	2.75e-4
CNAG_04632	NA	71.419	0.551	0.274	0.0948
CNAG_04633	NA	320.18	-0.056	0.185	0.8399
CNAG_04634	NA	252.586	-1.5	0.216	7.23e-11
CNAG_04635	NA	1312.764	-1.663	0.174	4.4560000000000004e-20
CNAG_04636	NA	139.961	-0.478	0.217	0.06421
CNAG_04637	MBF1	4257.857	0.897	0.154	6.417e-8
CNAG_04638	NA	28.416	-0.428	0.428	0.4513
CNAG_04639	NA	452.261	0.076	0.157	0.7375
CNAG_04640	ACL1	3167.808	0.803	0.154	1.522e-6
CNAG_04641	NA	223.415	0.158	0.18	0.5189
CNAG_04642	TSP2	1461.77	-1.036	0.151	1.083e-10
CNAG_04646	NA	270.593	0.097	0.219	0.7606
CNAG_04647	NA	377.898	0.222	0.185	0.3506
CNAG_04648	NA	413.049	0.88	0.214	2.112e-4
CNAG_04649	NA	39.822	0.285	0.313	0.4985
CNAG_04650	NA	240.655	-0.179	0.221	0.5542
CNAG_04651	NA	440.795	-0.211	0.171	0.3349
CNAG_04652	NA	246.408	-1.733	0.243	2.087e-11
CNAG_04653	NA	95.03	-0.032	0.225	0.9245
CNAG_04654	NA	467.345	0.025	0.151	0.9152
CNAG_04655	NA	126.371	-0.295	0.226	0.3048
CNAG_04656	NA	133.667	0.994	0.216	2.837e-5
CNAG_04657	NA	144.559	-1.546	0.215	1.356e-11
CNAG_04658	NA	28.153	-0.859	0.373	0.05096
CNAG_04659	PDC1	265.843	0.289	0.191	0.2245
CNAG_04662	CTF4	142.272	0.421	0.205	0.08701
CNAG_04663	NA	85.971	-0.414	0.231	0.1422
CNAG_04664	MRPL37	357.799	0.491	0.177	0.01593
CNAG_04665	NA	331.823	0.139	0.168	0.5442
CNAG_04666	NA	1092.482	0.366	0.162	0.05609
CNAG_04667	NA	212.58	0.275	0.198	0.2712
CNAG_04668	UBC12	373.477	-0.006	0.188	0.9823
CNAG_04669	NA	145.475	0.232	0.2	0.3703
CNAG_04670	NA	383.488	0.292	0.168	0.1553
CNAG_04671	NA	754.191	-0.094	0.144	0.6436
CNAG_04673	NA	52.54	-0.426	0.355	0.3525
CNAG_04674	ADA3	115.146	0.689	0.224	0.007084
CNAG_04675	NA	787.688	-3.512	0.231	5.37e-50
CNAG_04676	NA	591.73	0.743	0.232	0.004748
CNAG_04677	NA	73.418	1.492	0.297	4.094e-6
CNAG_04678	YPK1	569.354	-0.14	0.17	0.5456
CNAG_04679	NA	339.947	0.601	0.184	0.003943
CNAG_04680	NA	112.511	1.164	0.238	7.921e-6
CNAG_04681	LPI14	464.571	-2.912	0.201	3.311e-45
CNAG_04682	NA	212.726	-0.358	0.181	0.1018
CNAG_04683	NA	1210.454	0.563	0.159	0.001556
CNAG_04684	SEC23	2665.274	0.577	0.185	0.006281
CNAG_04686	NA	152.186	0.176	0.215	0.5483
CNAG_04687	NA	2177.378	0.153	0.181	0.5363
CNAG_04688	NA	9.978	-0.473	0.588	0.5552
CNAG_04689	NA	100.484	0.634	0.222	0.01337
CNAG_04690	NA	187.385	0.277	0.187	0.2359
CNAG_04691	NA	4.756	0.256	0.866	0.8436
CNAG_04692	NA	782.187	0.773	0.194	3.407e-4
CNAG_04693	SIN1	129.748	0.054	0.202	0.859
CNAG_04694	NA	1673.224	0.54	0.192	0.01459
CNAG_04695	NA	38.998	-1.129	0.331	0.002465
CNAG_04696	NA	184.478	-0.918	0.192	1.218e-5
CNAG_04697	NA	322.22	-0.189	0.176	0.4119
CNAG_04698	NA	1185.016	1.117	0.162	1.028e-10
CNAG_04699	NA	105.333	0.342	0.232	0.2371
CNAG_04700	NA	277.94	0.409	0.18	0.0548
CNAG_04701	NA	306.583	0.254	0.178	0.2548
CNAG_04702	NA	96.86	-0.052	0.228	0.881
CNAG_04703	NA	390.061	-0.203	0.167	0.3435
CNAG_04704	NA	9.516	-1.922	0.706	0.01868
CNAG_04705	NA	203.801	0.131	0.225	0.6806
CNAG_04707	NA	48.534	-0.046	0.308	0.923
CNAG_04708	NA	378.075	-0.195	0.181	0.4118
CNAG_04709	NA	1233.101	0.693	0.19	0.001109
CNAG_04710	NA	291.749	0.415	0.169	0.03548
CNAG_04711	NA	5.085	-0.318	0.791	0.783
CNAG_04712	NA	238.982	0.248	0.195	0.3205
CNAG_04713	NA	108.421	0.185	0.234	0.5644
CNAG_04714	NA	93.773	-0.246	0.244	0.446
CNAG_04715	NA	1410.334	0.259	0.191	0.285
CNAG_04716	NA	552.372	0.754	0.223	0.002717
CNAG_04717	NA	25.425	-0.388	0.376	0.4336
CNAG_04718	PCD101	80.155	-0.895	0.298	0.008697
CNAG_04719	NA	88.94	-0.052	0.276	0.9032
CNAG_04720	NA	313.676	0.081	0.197	0.776
CNAG_04721	NA	402.76	0.118	0.174	0.6267
CNAG_04723	NA	146.855	0.08	0.214	0.8009
CNAG_04724	NA	239.443	-0.485	0.187	0.02624
CNAG_04725	NA	156.201	-0.227	0.2	0.3834
CNAG_04726	NA	76725.793	1.352	0.183	3.935e-12
CNAG_04727	NA	12.897	-1.448	0.556	0.02523
CNAG_04728	NA	650.434	0.199	0.148	0.2871
CNAG_04729	NA	429.268	0.577	0.186	0.00673
CNAG_04730	GPR4	110.681	-0.046	0.238	0.9001
CNAG_04731	PCD102	90.444	0.253	0.225	0.389
CNAG_04732	PCD1	169.324	-0.325	0.19	0.1632
CNAG_04733	NA	312.236	0.172	0.163	0.4239
CNAG_04734	NA	260	-0.556	0.182	0.007507
CNAG_04735	MEP1	1296.702	-4.086	0.204	1.0799999999999998e-86
CNAG_04736	NA	109.882	-1.047	0.267	4.197e-4
CNAG_04737	NA	241.389	-2.968	0.221	4.37e-39
CNAG_04738	SAC6	338.749	0.114	0.189	0.6699
CNAG_04739	NA	372.068	0.269	0.165	0.1877
CNAG_04740	NA	373.977	-0.117	0.181	0.6457
CNAG_04741	NA	358.12	-1.262	0.167	1.084e-12
CNAG_04742	NA	234.866	0.201	0.173	0.3686
CNAG_04743	NA	485.751	0.222	0.152	0.2412
CNAG_04744	NA	56.588	0.076	0.281	0.8573
CNAG_04745	NA	126.679	0.125	0.206	0.6669
CNAG_04746	NA	183.84	-0.132	0.208	0.6524
CNAG_04747	NA	223.211	-0.877	0.215	2.337e-4
CNAG_04748	NA	142.347	-0.405	0.219	0.1277
CNAG_04749	NA	629.332	0.708	0.179	3.809e-4
CNAG_04750	NA	47.864	-1.204	0.297	2.514e-4
CNAG_04751	NA	226.357	-0.166	0.199	0.5411
