gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00121	NA	803.775	-0.368	0.175	0.1258
CNAG_00122	NA	154.185	0.432	0.214	0.1465
CNAG_00123	NA	44.624	-0.815	0.42	0.1665
CNAG_00124	CAS32	630.61	0.456	0.233	0.1628
CNAG_00125	CRG1	58.96	0.501	0.311	0.2731
CNAG_00126	NA	732.475	0.298	0.17	0.2248
CNAG_00127	NA	90.791	0.238	0.297	0.639
CNAG_00128	NA	126.611	0.266	0.282	0.5689
CNAG_00129	NA	215.74	0.055	0.205	0.8898
CNAG_00130	RCK2	1019.178	-1.041	0.161	4.946e-9
CNAG_00131	NA	58.247	-0.735	0.344	0.1175
CNAG_00132	NA	68.535	-0.256	0.317	0.6352
CNAG_00133	NA	220.295	-1.129	0.2	5.637e-7
CNAG_00134	NA	260.788	0.039	0.215	0.9295
CNAG_00135	NA	416.938	0.205	0.192	0.5113
CNAG_00136	NA	2272.1	-0.602	0.109	1.09e-6
CNAG_00137	NA	223.653	0.576	0.214	0.03853
CNAG_00138	NA	515.217	-0.012	0.156	0.9704
CNAG_00139	NA	634.545	-1.003	0.161	2.089e-8
CNAG_00140	NA	1480.846	-0.079	0.12	0.7127
CNAG_00141	NA	72.797	-0.159	0.339	0.7994
CNAG_00142	NA	355.323	0.455	0.159	0.02612
CNAG_00143	NA	869.081	-0.045	0.132	0.8599
CNAG_00144	NA	42.789	-0.742	0.393	0.1812
CNAG_00145	NA	337.572	-0.053	0.195	0.8889
CNAG_00146	PBY101	310.183	-0.219	0.204	0.5087
CNAG_00147	NA	3977.452	-0.179	0.13	0.3702
CNAG_00148	NA	497.066	-0.176	0.189	0.5744
CNAG_00149	NA	6237.873	0.822	0.159	6.025e-6
CNAG_00150	PQP1	524.591	0.431	0.175	0.06214
CNAG_00151	NA	373.627	-0.142	0.192	0.6692
CNAG_00152	NA	297.769	-0.157	0.175	0.59
CNAG_00153	NA	84.885	0.138	0.277	0.7859
CNAG_00154	NA	606.076	-0.585	0.167	0.004555
CNAG_00155	NA	0.53	1.25	3.406	0.8479
CNAG_00156	SP1	391.722	0.18	0.209	0.6105
CNAG_00157	NA	1350.841	0.342	0.18	0.1777
CNAG_00158	HOC3	264.259	0.023	0.18	0.9476
CNAG_00159	NA	261.034	-0.221	0.188	0.4594
CNAG_00160	NA	50.834	-0.837	0.363	0.08557
CNAG_00161	NA	62.616	-1.498	0.365	5.532e-4
CNAG_00162	AOX1	213.423	-0.091	0.237	0.8392
CNAG_00163	NA	319.166	0.097	0.179	0.7651
CNAG_00164	NA	260.399	0.453	0.218	0.1313
CNAG_00165	NA	463.123	0.099	0.147	0.7007
CNAG_00166	NA	296.826	0.472	0.167	0.02813
CNAG_00167	NA	346.149	-0.39	0.181	0.1126
CNAG_00171	NA	58.28	-0.393	0.313	0.4236
CNAG_00172	NA	344.891	0.765	0.202	0.001737
CNAG_00173	NA	277.532	-0.529	0.218	0.06658
CNAG_00174	NA	470.055	-0.174	0.288	0.7344
CNAG_00175	NA	149.821	-0.008	0.227	0.9849
CNAG_00176	NA	1372.032	0.316	0.247	0.4119
CNAG_00177	NA	147.396	0.273	0.226	0.4464
CNAG_00178	NA	1064.835	-0.148	0.246	0.7344
CNAG_00179	GPA2	77.551	0.592	0.327	0.2051
CNAG_00180	NA	238.147	-0.192	0.184	0.5227
CNAG_00181	FYV10	257.213	-0.544	0.178	0.01613
CNAG_00182	VPS29	254.625	-0.314	0.189	0.2536
CNAG_00183	NA	1059.764	-0.39	0.231	0.2451
CNAG_00184	NA	559.878	-0.253	0.173	0.3306
CNAG_00185	NA	510.953	0.096	0.167	0.7482
CNAG_00186	NA	241.282	-0.01	0.179	0.978
CNAG_00187	UBP16	327.837	-0.108	0.154	0.6845
CNAG_00188	NA	348.584	0.119	0.184	0.7151
CNAG_00189	NA	137.15	-0.074	0.275	0.8909
CNAG_00190	NA	2113.557	0.28	0.194	0.3388
CNAG_00191	NA	168.969	0.775	0.229	0.006488
CNAG_00192	NA	73.025	-0.401	0.311	0.4082
CNAG_00193	GAT1	974.368	0.166	0.14	0.4551
CNAG_00194	NA	1598.597	0.379	0.148	0.05084
CNAG_00195	NA	256.122	-0.03	0.176	0.9332
CNAG_00229	NA	161.998	-0.579	0.221	0.04411
CNAG_00231	NA	55.159	0.138	0.33	0.8236
CNAG_00232	RPL30	13675.799	-0.016	0.17	0.9609
CNAG_00233	NA	1009.92	-0.158	0.144	0.4978
CNAG_00234	NA	287.348	-0.018	0.184	0.9606
CNAG_00235	AMT1	212.971	0.759	0.202	0.002014
CNAG_00236	NA	116.328	0.833	0.265	0.01265
CNAG_00237	NA	1703.272	-0.146	0.135	0.5058
CNAG_00238	NA	4921.558	0.408	0.165	0.0607
CNAG_00239	YAP1	317.699	-0.342	0.208	0.2597
CNAG_00240	NA	404.494	0.074	0.183	0.8294
CNAG_00241	NA	163.267	0.158	0.226	0.6883
CNAG_00242	NA	41.502	-0.078	0.534	0.941
CNAG_00243	NA	225.086	0.243	0.199	0.4397
CNAG_00246	NA	382.575	-0.145	0.167	0.6051
CNAG_00247	LYS9	183.118	-1.072	0.234	8.213e-5
CNAG_00248	NA	166.104	0.06	0.212	0.8846
CNAG_00249	NA	371.656	0.401	0.168	0.07203
CNAG_00250	NA	482.429	0.834	0.179	6.275e-5
CNAG_00251	NA	31.952	-0.296	0.437	0.7004
CNAG_00252	NA	460.368	0.218	0.159	0.3697
CNAG_00253	NA	328.538	-0.051	0.282	0.9295
CNAG_00254	NA	288.573	-1.342	0.184	2.56e-11
CNAG_00255	NA	416.026	-0.035	0.182	0.9239
CNAG_00256	NA	895.287	-0.121	0.168	0.67490000000000006
