gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04617	NA	121.108	0.447	0.186	0.04963
CNAG_04618	NA	122.117	0.305	0.182	0.1991
CNAG_04619	NA	47.62	0.052	0.269	0.9112
CNAG_04620	NA	315.746	-0.188	0.139	0.3211
CNAG_04621	NA	409.394	0.977	0.159	1.346e-8
CNAG_04622	NA	1076.405	0.546	0.118	3.395e-5
CNAG_04623	NA	46.341	1.383	0.289	1.6e-5
CNAG_04625	NA	3882.683	0.696	0.086	3.465e-14
CNAG_04626	NA	53.09	1.369	0.276	7.236e-6
CNAG_04627	NA	278.267	-0.029	0.142	0.9057
CNAG_04628	NA	1342.031	-0.438	0.089	8.866e-6
CNAG_04629	NA	321.5	-0.122	0.141	0.5571
CNAG_04630	YAP2	516.274	0.418	0.112	0.001082
CNAG_04631	RIK1	177.75	0.619	0.191	0.005241
CNAG_04632	NA	127.643	-0.187	0.18	0.4676
CNAG_04633	NA	522.963	-0.144	0.114	0.3601
CNAG_04634	NA	491.536	0.475	0.119	4.319e-4
CNAG_04635	NA	3446.777	0.381	0.089	1.355e-4
CNAG_04636	NA	257.628	0.272	0.135	0.1087
CNAG_04637	MBF1	6145.341	-0.171	0.089	0.1323
CNAG_04638	NA	81.341	0.46	0.23	0.1135
CNAG_04639	NA	677.733	0.149	0.109	0.3156
CNAG_04640	ACL1	3433.36	-0.304	0.095	0.006027
CNAG_04641	NA	318.655	-0.069	0.132	0.7416
CNAG_04642	TSP2	2850.937	0.246	0.092	0.0266
CNAG_04646	NA	346.525	-0.304	0.123	0.04188
CNAG_04647	NA	584.358	-0.022	0.138	0.9271
CNAG_04648	NA	320.51	-0.277	0.145	0.1345
CNAG_04649	NA	61.663	-0.151	0.265	0.7163
CNAG_04650	NA	383.102	0.056	0.136	0.8017
CNAG_04651	NA	873.082	0.003	0.118	0.9895
CNAG_04652	NA	1072.029	0.519	0.108	1.381e-5
CNAG_04653	NA	159.691	0.069	0.163	0.7952
CNAG_04654	NA	779.938	-0.067	0.109	0.6928
CNAG_04655	NA	166.313	-0.125	0.186	0.6612
CNAG_04656	NA	112.075	-0.06	0.187	0.8497
CNAG_04657	NA	711.768	0.416	0.152	0.02191
CNAG_04658	NA	69.519	0.148	0.228	0.675
CNAG_04659	PDC1	486.606	-0.015	0.146	0.9553
CNAG_04662	CTF4	182.785	-0.201	0.155	0.347
CNAG_04663	NA	131.159	-0.089	0.186	0.7665
CNAG_04664	MRPL37	385.193	-0.24	0.138	0.1819
CNAG_04665	NA	572.718	-0.06	0.125	0.7649
CNAG_04666	NA	1948.379	0.281	0.101	0.02012
CNAG_04667	NA	333.042	0.039	0.136	0.8643
CNAG_04668	UBC12	785.586	0.215	0.106	0.1077
CNAG_04669	NA	271.104	0.314	0.136	0.06113
CNAG_04670	NA	497.563	-0.042	0.119	0.8304
CNAG_04671	NA	1104.897	0.118	0.1	0.3977
CNAG_04673	NA	80.934	0.145	0.245	0.7029
CNAG_04674	ADA3	124.934	-0.695	0.182	8.026e-4
CNAG_04675	NA	7987.684	0.775	0.109	2.772e-11
CNAG_04676	NA	589.098	-0.378	0.115	0.004608
CNAG_04677	NA	94.379	0.019	0.209	0.9607
CNAG_04678	YPK1	910.968	0.055	0.098	0.7174
CNAG_04679	NA	381.817	-0.283	0.124	0.06512
CNAG_04680	NA	112.626	-0.159	0.193	0.5783
CNAG_04681	LPI14	1474.27	0.7	0.103	2.879e-10
CNAG_04682	NA	348.337	0.114	0.127	0.5394
CNAG_04683	NA	1168.915	-0.484	0.109	7.515e-5
CNAG_04684	SEC23	3275.279	-0.264	0.104	0.03554
CNAG_04686	NA	263.162	0.11	0.136	0.589
CNAG_04687	NA	3380.355	0.142	0.125	0.4192
CNAG_04688	NA	28.58	0.463	0.352	0.338
CNAG_04689	NA	136.213	-0.312	0.185	0.1943
CNAG_04690	NA	154.899	0.171	0.19	0.5361
CNAG_04691	NA	15.125	0.399	0.504	0.5969
CNAG_04692	NA	686.461	-0.389	0.102	8.176e-4
CNAG_04693	SIN1	210.222	0.043	0.145	0.8611
CNAG_04694	NA	1317.991	-0.977	0.1	9.235e-21
CNAG_04695	NA	115.093	0.678	0.206	0.004694
CNAG_04696	NA	276.923	-0.006	0.144	0.9826
CNAG_04697	NA	377.661	-0.138	0.129	0.4524
CNAG_04698	NA	1471.536	-0.181	0.089	0.1065
CNAG_04699	NA	129.968	-0.079	0.195	0.8037
CNAG_04700	NA	327.121	-0.477	0.127	9.949e-4
CNAG_04701	NA	452.679	0.074	0.12	0.6882
CNAG_04702	NA	197.764	0.232	0.153	0.255
CNAG_04703	NA	735.445	-0.205	0.106	0.1265
CNAG_04704	NA	21.236	0.905	0.408	0.07433
CNAG_04705	NA	252.659	-0.145	0.163	0.5443
CNAG_04707	NA	140.811	-0.234	0.191	0.3784
CNAG_04708	NA	456.882	-0.238	0.127	0.1423
CNAG_04709	NA	1208.508	-0.431	0.104	2.365e-4
CNAG_04710	NA	305.249	-0.185	0.131	0.2985
CNAG_04711	NA	7.968	-0.344	0.636	0.7327
CNAG_04712	NA	257.854	-0.305	0.148	0.1003
CNAG_04713	NA	179.099	-0.072	0.156	0.7755
CNAG_04714	NA	175.843	-0.024	0.174	0.9359
CNAG_04715	NA	2422.847	0.049	0.1	0.7602
CNAG_04716	NA	600.512	-0.009	0.106	0.9641
CNAG_04717	NA	69.392	0.26	0.234	0.4315
CNAG_04718	PCD101	230.994	0.351	0.156	0.06823
CNAG_04719	NA	159.488	0.506	0.205	0.04301
CNAG_04720	NA	417.63	0.292	0.123	0.05436
CNAG_04721	NA	632.465	0.034	0.117	0.8631
CNAG_04723	NA	226.133	0.248	0.155	0.2248
CNAG_04724	NA	574.456	0.306	0.119	0.03466
CNAG_04725	NA	221.547	-0.095	0.144	0.669
CNAG_04726	NA	36912.624	-1.196	0.105	1.006e-27
CNAG_04727	NA	42.717	0.14	0.283	0.7569
CNAG_04728	NA	804.147	-0.051	0.111	0.7743
CNAG_04729	NA	362.969	-0.808	0.143	2.387e-7
CNAG_04730	GPR4	133.268	-0.452	0.179	0.03737
