gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	445.321	-0.013	0.132	0.9419
CNAG_00003	NA	49.473	-0.483	0.273	0.1283
CNAG_00004	NA	107.571	0.242	0.189	0.286
CNAG_00005	NA	666.918	-0.02	0.125	0.9097
CNAG_00006	NA	1677.657	0.156	0.089	0.1311
CNAG_00007	NA	530.18	0.814	0.115	2.058e-11
CNAG_00008	NA	306.276	-0.121	0.127	0.4418
CNAG_00009	NA	245.41	-0.071	0.137	0.6931
CNAG_00010	NA	300.894	0.234	0.158	0.2106
CNAG_00011	NA	190.651	0.116	0.158	0.5628
CNAG_00012	NA	490.288	0.151	0.127	0.3249
CNAG_00013	NA	381.928	0.077	0.12	0.6166
CNAG_00014	NA	57.418	-0.443	0.246	0.1203
CNAG_00015	NA	254.272	-1.241	0.153	9.512e-15
CNAG_00016	NA	363.692	0.623	0.148	9.983e-5
CNAG_00017	NA	122.459	-0.462	0.184	0.02636
CNAG_00018	FZC6	559.029	0.348	0.115	0.006439
CNAG_00019	NA	3188.014	0.751	0.104	7.729e-12
CNAG_00020	NA	992.018	0.038	0.13	0.8323
CNAG_00021	NA	442.296	-0.009	0.138	0.9602
CNAG_00022	NA	717.622	0.583	0.106	2.457e-7
CNAG_00023	NA	46.834	-0.57	0.276	0.07191
CNAG_00024	NA	973.462	0.316	0.126	0.02601
CNAG_00025	VCX1	373.224	-0.761	0.137	1.826e-7
CNAG_00026	NA	478.676	0.348	0.133	0.0197
CNAG_00027	NA	143.777	0.013	0.169	0.9568
CNAG_00028	NA	102.49	-0.216	0.199	0.3744
CNAG_00029	NA	43.541	-0.032	0.294	0.9368
CNAG_00030	NA	24.339	0.211	0.362	0.6518
CNAG_00031	MLR1	159.098	0.445	0.169	0.01888
CNAG_00032	NA	46.015	-0.838	0.317	0.01858
CNAG_00034	RPL9B	29885.12	0.721	0.087	1.871e-15
CNAG_00035	NA	51.923	-1.44	0.275	9.612e-7
CNAG_00036	SEC14-2	170.286	-1.914	0.173	1.122e-26
CNAG_00038	NA	222.05	-0.258	0.157	0.1612
CNAG_00039	ZFC6	15.231	-1.019	0.492	0.07095
CNAG_00040	ERG11	900.102	0.313	0.108	0.009685
CNAG_00043	NA	209.047	0.038	0.145	0.8479
CNAG_00044	NA	399.029	0.408	0.147	0.01309
CNAG_00045	NA	253.98	-0.951	0.143	2.916e-10
CNAG_00046	NA	1590.103	0.239	0.109	0.05417
CNAG_00047	PKP1	76.873	0.294	0.233	0.2936
CNAG_00048	NA	58.535	-0.723	0.254	0.01098
CNAG_00049	NA	58.017	0.091	0.257	0.7924
CNAG_00050	NA	140.634	0.421	0.175	0.03418
CNAG_00051	SNT1	377.687	0.142	0.129	0.3637
CNAG_00052	NA	120.934	-0.237	0.188	0.2969
CNAG_00053	NA	119.485	0.28	0.191	0.2173
CNAG_00054	NA	95.881	-1.695	0.221	2.627e-13
CNAG_00055	NA	746.557	-0.038	0.106	0.7894
CNAG_00056	NA	319.929	-0.107	0.141	0.5484
CNAG_00057	FPP1	690.645	-0.484	0.107	2.877e-5
CNAG_00058	NA	1901.768	0.525	0.095	2.35e-7
CNAG_00059	NA	138.193	0.389	0.177	0.05364
CNAG_00060	NA	238.616	0.351	0.139	0.02492
CNAG_00061	CIT1	9394.271	0.577	0.117	4.728e-6
CNAG_00062	NA	1320.082	0.604	0.109	1.966e-7
CNAG_00063	CSE4	476.066	0.494	0.117	9.715e-5
CNAG_00064	NA	1407.873	-0.059	0.099	0.6448
CNAG_00065	NA	3247.019	0.329	0.085	3.877e-4
CNAG_00066	NA	221.973	0.007	0.154	0.9733
CNAG_00067	SSS1	2962.097	0.258	0.132	0.09116
CNAG_00068	NA	90.252	-0.426	0.204	0.06844
CNAG_00069	NA	20.486	-0.736	0.42	0.1327
CNAG_00070	NA	290.661	-0.708	0.145	5.697e-6
CNAG_00072	NA	1182.017	0.247	0.116	0.06317
CNAG_00073	NA	318.515	0.28	0.138	0.07751
CNAG_00074	NA	1194.712	-0.475	0.102	1.415e-5
CNAG_00075	NA	577.923	-0.291	0.121	0.03358
CNAG_00076	NDX6	267.129	-0.01	0.15	0.9598
CNAG_00077	NA	1809.585	-0.41	0.127	0.003449
CNAG_00078	NA	160.703	0.483	0.167	0.009375
CNAG_00079	NA	154.211	-0.27	0.165	0.1623
CNAG_00080	NA	24.995	-1.263	0.379	0.002567
CNAG_00081	NA	757.818	0.301	0.109	0.01363
CNAG_00082	NA	180.036	-0.107	0.178	0.6422
CNAG_00083	CCC1	148.905	0.364	0.189	0.09483
CNAG_00084	NA	1057.593	0.732	0.101	5.763e-12
CNAG_00085	NA	408.467	0.215	0.117	0.1117
CNAG_00086	NA	670.43	0.174	0.111	0.1849
CNAG_00087	NA	282.531	0.236	0.141	0.1541
CNAG_00088	NA	687.059	0.321	0.115	0.01252
CNAG_00089	NA	361.476	0.363	0.125	0.00931
CNAG_00090	NA	437.437	0.077	0.115	0.6006
CNAG_00091	NA	102.453	-0.233	0.218	0.3805
CNAG_00092	NA	1757.661	0.541	0.096	1.0420000000000001e-07
CNAG_00093	NA	276.066	-0.823	0.16	1.534e-6
CNAG_00094	NA	67.087	-0.005	0.231	0.9875
CNAG_00095	NA	364.391	0.224	0.122	0.1134
CNAG_00096	NA	153.597	0.295	0.167	0.1279
CNAG_00097	ITR1	100.477	-0.742	0.204	8.956e-4
CNAG_00098	NA	416.029	-0.286	0.126	0.04559
CNAG_00099	NA	759.51	0.088	0.116	0.5477
CNAG_00100	NA	7572.733	0.767	0.109	2.603e-11
CNAG_00101	KEI1	712.936	0.149	0.107	0.2413
CNAG_00104	NA	2063.187	0.016	0.131	0.9307
CNAG_00106	TCO5	223.788	-0.118	0.154	0.5426
CNAG_00107	NA	75.2	-0.347	0.22	0.1805
CNAG_00108	NA	1602.328	0.632	0.125	2.271e-6
CNAG_00109	NA	1621.307	0.647	0.09	9.924e-12
CNAG_00110	HPI3	511.153	0.173	0.127	0.2551
CNAG_00111	NA	882.218	0.418	0.132	0.004211
CNAG_00115	NA	251.056	0.495	0.167	0.007828
CNAG_00116	NA	28659.067	0.808	0.1	1.279e-14
CNAG_00117	ERG24	763.588	0.345	0.108	0.004022
CNAG_00118	NA	362.077	-0.182	0.121	0.2043
CNAG_00119	NA	166.146	0.103	0.166	0.6298
CNAG_00120	NA	438.555	0.484	0.124	3.463e-4
CNAG_00121	NA	854.095	0.348	0.12	0.009159
CNAG_00122	NA	174.327	0.231	0.16	0.2231
CNAG_00123	NA	23.3	-1.228	0.397	0.005283
CNAG_00124	CAS32	630.112	-0.522	0.141	7.602e-4
CNAG_00125	CRG1	66.796	-0.391	0.23	0.1463
CNAG_00126	NA	729.849	0.047	0.108	0.7457
CNAG_00127	NA	92.415	0.133	0.212	0.6267
CNAG_00128	NA	137.523	0.156	0.206	0.5493
CNAG_00129	NA	235.611	0.269	0.147	0.1133
CNAG_00130	RCK2	732.615	-0.548	0.109	2.984e-6
CNAG_00131	NA	52.708	-0.51	0.262	0.09172
CNAG_00132	NA	62.347	-0.375	0.244	0.1938
CNAG_00133	NA	194.892	0.062	0.159	0.772
CNAG_00134	NA	249.881	-0.181	0.147	0.3057
CNAG_00135	NA	511.963	0.692	0.115	1.43e-8
CNAG_00136	NA	2294.612	0.203	0.089	0.04493
CNAG_00137	NA	222.606	-1.071	0.165	7.159e-10
CNAG_00138	NA	571.216	0.609	0.111	2.864e-7
CNAG_00139	NA	484.441	-0.021	0.127	0.9073
CNAG_00140	NA	1621.485	0.504	0.093	4.158e-7
CNAG_00141	NA	84.378	-0.296	0.21	0.2365
CNAG_00142	NA	398.074	0.339	0.123	0.01375
CNAG_00143	NA	995.324	0.591	0.099	1.704e-8
CNAG_00144	NA	50.11	1.014	0.274	7.356e-4
CNAG_00145	NA	387.463	0.274	0.133	0.07299
CNAG_00146	PBY101	328.258	0.354	0.145	0.03118
CNAG_00147	NA	3583.146	0.071	0.1	0.5769
CNAG_00148	NA	499.924	0.202	0.134	0.2033
CNAG_00149	NA	7059.874	0.038	0.108	0.7949
CNAG_00150	PQP1	430.137	-0.137	0.128	0.3797
CNAG_00151	NA	394.739	0.72	0.132	3.013e-7
CNAG_00152	NA	305.334	0.34	0.138	0.02904
CNAG_00153	NA	90.877	0.311	0.207	0.2045
CNAG_00154	NA	506.422	-1.597	0.125	1.116e-35
CNAG_00155	NA	0.518	1.324	2.422	0.6735
CNAG_00156	SP1	348.611	-0.794	0.144	2.65e-7
CNAG_00157	NA	1612.76	-0.6	0.093	9.83e-10
CNAG_00158	HOC3	279.417	0.246	0.138	0.1258
CNAG_00159	NA	291.459	0.543	0.137	2.828e-4
CNAG_00160	NA	36.042	-0.407	0.308	0.2701
CNAG_00161	NA	48.161	-0.359	0.273	0.2735
CNAG_00162	AOX1	241.299	-1.39	0.159	6.059e-17
CNAG_00163	NA	350.349	-0.399	0.134	0.007537
CNAG_00164	NA	240.221	-1.321	0.158	1.051e-15
CNAG_00165	NA	563.775	0.384	0.108	0.001166
CNAG_00166	NA	332.092	0.288	0.129	0.04998
CNAG_00167	NA	318.505	-0.11	0.136	0.5197
CNAG_00171	NA	57.793	0.381	0.242	0.1813
CNAG_00172	NA	344.236	0.018	0.133	0.925
CNAG_00173	NA	266	0.104	0.157	0.6064
CNAG_00174	NA	414.198	-0.166	0.164	0.4099
CNAG_00175	NA	131.844	-0.205	0.171	0.3213
CNAG_00176	NA	1739.797	0.032	0.121	0.8465
CNAG_00177	NA	138.273	-1.244	0.182	9.269e-11
CNAG_00178	NA	754.417	-0.77	0.16	7.81e-6
CNAG_00179	GPA2	87.181	-0.726	0.231	0.004682
CNAG_00180	NA	244.389	0.317	0.145	0.05571
CNAG_00181	FYV10	253.754	-0.253	0.139	0.115
CNAG_00182	VPS29	295.337	0.106	0.139	0.5474
CNAG_00183	NA	1010.194	-0.737	0.137	4.727e-7
CNAG_00184	NA	562.691	-0.015	0.118	0.9296
CNAG_00185	NA	559.18	-0.302	0.113	0.01768
CNAG_00186	NA	279.043	0.181	0.136	0.2668
CNAG_00187	UBP16	335.278	0.097	0.124	0.5324
CNAG_00188	NA	392.042	0.287	0.123	0.03968
CNAG_00189	NA	157.378	0.247	0.176	0.2386
CNAG_00190	NA	1969.252	-0.905	0.137	3.911e-10
CNAG_00191	NA	234.159	-0.159	0.153	0.395
CNAG_00192	NA	61.673	0.193	0.26	0.5563
CNAG_00193	GAT1	954.421	0.058	0.102	0.6635
CNAG_00194	NA	1783.363	-0.068	0.091	0.5535
CNAG_00195	NA	303.406	0.571	0.134	8.235e-5
CNAG_00229	NA	167.088	-0.123	0.163	0.5493
CNAG_00231	NA	60.862	0.293	0.252	0.3363
CNAG_00232	RPL30	17498.511	0.864	0.102	3.945e-16
CNAG_00233	NA	1132.635	0.431	0.101	9.022e-5
CNAG_00234	NA	322.481	0.175	0.128	0.2502
CNAG_00235	AMT1	292.331	0.548	0.14	3.36e-4
CNAG_00236	NA	140.612	0.702	0.182	4.13e-4
CNAG_00237	NA	1950.691	0.593	0.098	1.037e-8
CNAG_00238	NA	5333.943	0.312	0.123	0.02438
CNAG_00239	YAP1	263.114	-1.042	0.154	1.379e-10
CNAG_00240	NA	403.463	0.103	0.13	0.5293
CNAG_00241	NA	187.018	0.259	0.155	0.1536
CNAG_00242	NA	30.081	-1.921	0.375	1.702e-6
CNAG_00243	NA	245.111	0.047	0.144	0.8082
CNAG_00246	NA	354.178	-0.136	0.124	0.3654
CNAG_00247	LYS9	138.417	-0.41	0.178	0.04298
CNAG_00248	NA	176.876	-0.121	0.157	0.5442
CNAG_00249	NA	326.564	-0.516	0.13	2.844e-4
CNAG_00250	NA	510.021	-0.284	0.121	0.03882
CNAG_00251	NA	26.496	-0.594	0.357	0.155
CNAG_00252	NA	491.61	-0.211	0.121	0.136
CNAG_00253	NA	386.699	-0.197	0.139	0.2366
CNAG_00254	NA	269.694	0.275	0.134	0.07451
CNAG_00255	NA	450.679	-0.006	0.129	0.9752
CNAG_00256	NA	985.335	0.789	0.111	1.475e-11
CNAG_00257	NA	388.292	-0.152	0.148	0.4032
CNAG_00258	NA	282.508	0.336	0.145	0.04198
CNAG_00259	NA	341.94	0.559	0.126	4.124e-5
CNAG_00260	NA	830.643	0.678	0.105	9.158e-10
CNAG_00261	NA	14717.973	-0.855	0.112	3.706e-13
CNAG_00262	NA	44.737	-0.06	0.293	0.8846
CNAG_00263	PTP4	133.089	-0.316	0.183	0.1396
CNAG_00264	NA	1051.927	-0.86	0.124	5.736e-11
CNAG_00265	IDI1	2331.033	0.548	0.117	1.516e-5
CNAG_00266	YFH7	205.896	0.332	0.145	0.04326
CNAG_00267	NA	81.705	0.089	0.214	0.7532
CNAG_00268	ILV2	801.917	0.32	0.111	0.009882
CNAG_00269	NA	64.521	-3.712	0.76	5.488e-6
CNAG_00270	NA	3237.657	0.31	0.092	0.002186
CNAG_00271	NA	336.083	0.44	0.131	0.002429
CNAG_00272	NA	127.331	-0.43	0.201	0.06172
CNAG_00273	NA	81.72	0.222	0.217	0.406
CNAG_00274	NA	187.603	-0.259	0.161	0.1717
CNAG_00275	NA	307.398	-1.442	0.145	1.123e-21
CNAG_00276	NA	148.923	-0.482	0.187	0.0217
CNAG_00277	NA	179.875	-0.081	0.153	0.683
CNAG_00278	NA	294.445	0.691	0.131	8.488e-7
CNAG_00279	NA	676.765	0.254	0.144	0.1307
CNAG_00280	NA	2333.858	0.409	0.09	2.447e-5
CNAG_00283	NA	99.126	-0.305	0.218	0.2408
CNAG_00284	NA	86.091	-0.481	0.209	0.04283
CNAG_00285	NA	88.356	-0.203	0.201	0.4117
CNAG_00286	NAB2	500.288	0.35	0.117	0.007546
CNAG_00287	NA	6595.907	0.445	0.09	3.885e-6
CNAG_00288	NA	143.684	0.162	0.176	0.4553
CNAG_00289	NA	179.46	0.497	0.173	0.01019
CNAG_00290	NA	417.711	-0.156	0.119	0.2722
CNAG_00291	NA	10.64	-0.041	0.563	0.9578
CNAG_00292	NA	2041.081	0.116	0.099	0.3363
CNAG_00293	RAS1	1057.067	0.184	0.105	0.1344
CNAG_00294	NA	508.009	0.548	0.127	6.79e-5
CNAG_00295	NA	1.793	-1.882	1.515	0.3023
CNAG_00299	NA	188.975	0.131	0.153	0.4923
CNAG_00300	NA	276.664	-0.744	0.141	8.559e-7
CNAG_00301	NA	939.275	-2.12	0.111	1.3799999999999998e-78
CNAG_00302	NA	163.989	-0.233	0.189	0.3071
CNAG_00303	NA	14.823	-0.248	0.459	0.6779
CNAG_00304	NA	236.557	0.77	0.158	5.639e-6
CNAG_00305	NA	7759.174	0.497	0.085	4.039e-8
CNAG_00306	MTN2	74.599	-0.195	0.244	0.5252
CNAG_00307	NA	5780.536	0.256	0.099	0.02084
CNAG_00308	NA	106.468	0.358	0.196	0.1159
CNAG_00309	NA	227.304	0.051	0.144	0.7906
CNAG_00310	NA	140.211	0.377	0.166	0.04618
CNAG_00311	NA	1279.871	0.634	0.098	8.044e-10
CNAG_00312	NA	320.574	0.079	0.128	0.6351
CNAG_00313	NA	133.243	-0.053	0.172	0.8206
CNAG_00314	NA	149.997	-0.165	0.176	0.4477
CNAG_00315	NA	113.235	-0.464	0.2	0.04158
CNAG_00316	HAM1	738.55	0.623	0.124	2.557e-6
CNAG_00317	NA	247.042	0.023	0.136	0.9032
CNAG_00318	NA	1726.343	0.073	0.101	0.5679
CNAG_00319	NA	785.838	0.259	0.103	0.02573
CNAG_00320	NA	164.06	0.15	0.159	0.4466
CNAG_00321	NA	15.923	-1.186	0.478	0.02812
CNAG_00322	NA	284.829	-0.466	0.152	0.005658
CNAG_00323	NA	14.689	-0.888	0.487	0.116
CNAG_00326	NA	1245.741	0.184	0.099	0.1087
CNAG_00327	NA	86.068	0.009	0.221	0.9763
CNAG_00328	NA	278.791	-0.22	0.151	0.2194
CNAG_00329	NA	2287.671	0.707	0.103	7.459e-11
CNAG_00330	NA	291.32	-0.02	0.137	0.9197
CNAG_00331	NA	79.253	0.128	0.219	0.6516
CNAG_00332	SIP4	337.008	-0.47	0.133	0.001326
CNAG_00333	NA	261.271	0.539	0.147	8.088e-4
CNAG_00334	NA	66333.194	0.735	0.098	9.615e-13
CNAG_00335	NA	269.998	0.421	0.139	0.00626
CNAG_00337	NA	1124.689	-1.013	0.113	8.544e-18
CNAG_00342	NA	550.965	-0.158	0.114	0.2428
CNAG_00343	NA	122.928	-0.174	0.181	0.4361
CNAG_00344	NA	107.704	-0.018	0.187	0.9431
CNAG_00345	NA	746.434	0.935	0.116	1.291e-14
CNAG_00346	NA	177.49	-0.008	0.168	0.9702
CNAG_00347	NA	259.076	0.062	0.143	0.7451
CNAG_00348	NA	173.951	-1.092	0.182	1.738e-8
CNAG_00349	NA	20.346	-1.163	0.429	0.01555
CNAG_00351	NA	131.652	0.24	0.172	0.2409
CNAG_00352	NA	462.339	0.158	0.122	0.28
CNAG_00353	LPI16	383.934	-0.132	0.125	0.3869
CNAG_00354	NA	982.63	-0.333	0.1	0.002662
CNAG_00355	NA	696.56	-0.066	0.104	0.6196
CNAG_00356	NA	460.325	0.208	0.125	0.1551
CNAG_00357	NA	177.59	0.391	0.174	0.04928
CNAG_00358	NA	148.028	0.386	0.167	0.04115
CNAG_00359	NA	1133.236	-1.319	0.128	2.25e-23
CNAG_00360	NA	370.154	-1.02	0.131	1.034e-13
CNAG_00361	RVS167	2178.654	0.004	0.089	0.9763
CNAG_00362	NA	226.866	-0.142	0.155	0.4591
CNAG_00363	TCO6	540.349	-0.335	0.115	0.009051
CNAG_00364	NA	203.795	0.242	0.151	0.1739
CNAG_00365	NA	642.399	0.24	0.11	0.05592
