gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04200	NA	358.55	-1.905	0.14	1.066e-40
CNAG_04201	NA	64.258	-0.102	0.264	0.7544
CNAG_04202	NA	547.009	-0.96	0.134	4.155e-12
CNAG_04203	NA	475.56	0.525	0.119	2.894e-5
CNAG_04204	NA	1335.879	0.906	0.103	1e-17
CNAG_04205	NA	234.099	0.268	0.146	0.09916
CNAG_04206	NA	247.237	-0.699	0.179	2.412e-4
CNAG_04207	NA	130.746	-0.051	0.192	0.8342
CNAG_04208	NA	331.144	-0.536	0.158	0.001526
CNAG_04209	NA	855.1	-0.9	0.144	2.061e-9
CNAG_04210	NA	504.028	0.311	0.149	0.05849
CNAG_04211	NA	541.172	-0.433	0.137	0.003145
CNAG_04212	NA	1675.157	1.012	0.099	1.391e-23
CNAG_04213	NA	232.422	0.16	0.17	0.4235
CNAG_04215	MET3	3918.699	0.401	0.136	0.006331
CNAG_04216	NA	27.758	-0.053	0.375	0.9155
CNAG_04217	PCK1	69.114	-1.9	0.303	1.665e-9
CNAG_04218	NA	65.181	0.304	0.254	0.2988
CNAG_04219	NA	888.296	0.722	0.106	4.983e-11
CNAG_04220	NA	105.196	-0.268	0.235	0.3236
CNAG_04221	FBP26	315.111	-0.31	0.134	0.03528
CNAG_04222	NA	163.737	1.096	0.177	2.359e-9
CNAG_04223	NA	5.378	-1.256	0.83	0.18
CNAG_04224	PSR1	239.738	0.369	0.141	0.01564
CNAG_04225	NA	88.893	-0.809	0.239	0.001546
CNAG_04226	NA	664.941	-0.568	0.113	1.799e-6
CNAG_04227	NA	256.091	0.249	0.143	0.1191
CNAG_04228	NA	74.331	-0.293	0.238	0.284
CNAG_04229	NA	88.64	0.193	0.207	0.4278
CNAG_04230	THI6	433.028	1.141	0.132	3.592e-17
CNAG_04231	NA	87.5	-0.023	0.223	0.937
CNAG_04232	NA	342.472	0.623	0.158	2.065e-4
CNAG_04233	NA	152.936	-0.939	0.186	1.388e-6
CNAG_04234	NA	109.967	-0.046	0.192	0.8488
CNAG_04235	NA	1270.152	1.219	0.098	2.7429999999999997e-34
CNAG_04236	NA	534.304	0.443	0.123	7.576e-4
CNAG_04237	NA	145.397	0.825	0.178	1.123e-5
CNAG_04238	NA	112.025	-0.322	0.195	0.1396
CNAG_04239	NA	195.048	0.199	0.155	0.2595
CNAG_04240	NA	186.867	-0.593	0.164	6.644e-4
CNAG_04241	NA	94.737	-0.424	0.207	0.06318
CNAG_04242	NA	143.274	-0.446	0.182	0.02418
CNAG_04243	CDC24	1855.67	-0.06	0.094	0.5996
CNAG_04244	NA	365.548	-0.046	0.131	0.7766
CNAG_04245	CHI22	1641.02	1.492	0.113	1.506e-38
CNAG_04246	NA	67.219	-0.92	0.244	3.91e-4
CNAG_04247	SFI1	120.046	-0.241	0.188	0.262
CNAG_04248	NA	105.186	-0.494	0.194	0.01878
CNAG_04252	NA	97.812	-0.159	0.21	0.5273
CNAG_04253	NA	424.286	-0.463	0.16	0.007392
CNAG_04254	NA	78.287	0.103	0.23	0.7173
CNAG_04255	NA	91.786	0.37	0.22	0.132
CNAG_04256	LPI6	225.445	-2.339	0.189	5.704e-34
CNAG_04257	NA	2278.509	0.73	0.116	1.407e-9
CNAG_04258	ARF1	464.704	0.063	0.158	0.7488
CNAG_04259	NA	2025.422	0.99	0.125	1.454e-14
CNAG_04260	NA	368.456	0.874	0.136	6.549e-10
CNAG_04261	NA	215.275	-0.28	0.18	0.1689
CNAG_04262	NA	29.482	-0.003	0.351	0.995
CNAG_04263	BZP2	395.083	0.008	0.136	0.9665
CNAG_04264	NA	516.896	0.62	0.12	7.265e-7
CNAG_04265	NA	264.98	0.373	0.138	0.01253
CNAG_04266	NA	288.264	0.705	0.148	5.885e-6
CNAG_04267	MGM101	294.748	-0.413	0.135	0.004599
CNAG_04268	APN2	93.548	-1.054	0.212	2.246e-6
CNAG_04269	NA	263.435	-1.063	0.15	6.615e-12
CNAG_04270	NA	254.551	-0.088	0.173	0.6767
CNAG_04271	NA	190.629	0.747	0.157	5.784e-6
CNAG_04272	CMK2	330.399	-0.317	0.141	0.04114
CNAG_04273	NA	1773.79	-0.196	0.1	0.07745
CNAG_04274	NA	9.001	0.28	0.624	0.7153
CNAG_04275	NA	66.617	-0.094	0.238	0.7511
CNAG_04276	FCY4	518.73	0.451	0.126	7.897e-4
CNAG_04277	NA	65.877	-0.04	0.248	0.9008
CNAG_04278	NA	206.302	0.382	0.171	0.04119
CNAG_04279	NA	357.364	0.544	0.127	4.98e-5
CNAG_04280	NA	223.144	-3.563	0.208	3.3579999999999996e-64
CNAG_04281	NA	2070.378	-0.028	0.091	0.8084
CNAG_04282	MPK2	183.723	-0.305	0.183	0.1371
CNAG_04283	NA	300.135	9.521	0.845	2.948e-28
CNAG_04284	NA	491.575	0.935	0.126	6.251e-13
CNAG_04285	NA	1120.475	-0.002	0.118	0.9895
CNAG_04286	NA	1180.162	0.977	0.106	2.198e-19
CNAG_04287	NA	770.182	0.842	0.125	9.097e-11
CNAG_04288	NA	161.759	-0.186	0.164	0.327
CNAG_04289	NA	544.149	0.793	0.114	1.969e-11
CNAG_04290	NA	3005.532	0.761	0.104	1.822e-12
CNAG_04291	NA	1433.059	-0.094	0.112	0.479
CNAG_04292	NA	1328.208	1.361	0.102	1.539e-39
CNAG_04293	VPS41	365.525	-0.224	0.128	0.118
CNAG_04294	NA	140.62	-0.686	0.183	4.087e-4
CNAG_04295	NA	100.063	0.11	0.215	0.6764
CNAG_04296	NA	351.384	0.372	0.14	0.014
CNAG_04297	NA	235.787	0.387	0.142	0.0121
CNAG_04298	NOC3	675.553	0.98	0.114	8.302e-17
CNAG_04299	NA	301.507	-0.269	0.139	0.0803
CNAG_04300	NA	254.9	-0.015	0.162	0.9413
CNAG_04301	NA	129.517	0.171	0.177	0.4096
CNAG_04302	NA	142.285	0.298	0.176	0.1301
CNAG_04303	NA	463.516	0.011	0.126	0.9452
CNAG_04304	NA	2686.553	1.133	0.124	4.131e-19
CNAG_04305	NA	175.129	-1.086	0.172	1.259e-9
CNAG_04306	NA	474.685	0.284	0.125	0.0384
CNAG_04307	URO1	118.025	-0.637	0.231	0.01082
CNAG_04308	HAD1	264.222	0.386	0.149	0.01714
CNAG_04309	NA	328.758	-1.417	0.157	1.741e-18
CNAG_04310	NA	76.893	0.108	0.225	0.6962
CNAG_04311	NA	268.983	-0.509	0.15	0.001533
CNAG_04312	MAN1	898.091	-0.533	0.113	6.847e-6
CNAG_04313	NA	2836.53	-1.868	0.09	1.099e-93
CNAG_04314	YEF1	89.361	-0.479	0.222	0.05053
CNAG_04315	NA	319.756	-0.134	0.135	0.3972
CNAG_04316	UTR1	375.471	-0.055	0.13	0.7306
CNAG_04317	NA	17.144	-0.265	0.474	0.6469
CNAG_04318	NA	173.733	0.558	0.164	0.001452
CNAG_04319	NA	302.933	0.767	0.151	1.155e-6
CNAG_04320	CPS1	3526.498	-0.858	0.091	4.002e-20
CNAG_04321	NA	263.33	0.009	0.16	0.9671
CNAG_04322	NA	155.023	0.077	0.215	0.7742
CNAG_04323	NA	572.207	0.08	0.127	0.6018
CNAG_04324	NA	72.735	0.294	0.235	0.2769
CNAG_04325	NA	1993.373	-1.874	0.098	1.1709999999999998e-79
CNAG_04326	NA	166.125	0.7	0.163	4.664e-5
CNAG_04327	NA	2277.753	0.293	0.108	0.01231
CNAG_04328	NA	3433.859	-0.054	0.135	0.746
CNAG_04329	NA	537.31	-0.439	0.125	9.951e-4
CNAG_04330	NA	9.136	1.225	0.626	0.07724
CNAG_04331	NA	4.849	-1.598	0.925	0.1226
CNAG_04332	MRPL31	421.248	0.988	0.139	7.511e-12
CNAG_04333	NA	88.518	-1.727	0.236	1.295e-12
CNAG_04334	MRPS18	2020.86	0.835	0.091	4.903e-19
CNAG_04335	NA	184.119	-0.331	0.159	0.05893
CNAG_04336	NA	122.73	0.272	0.185	0.1944
CNAG_04337	NA	54.192	-1.962	0.309	9.933e-10
CNAG_04338	NA	170.922	-0.913	0.171	3.071e-7
CNAG_04339	NA	205.787	-0.297	0.158	0.090939999999999993
CNAG_04340	NA	449.774	0.626	0.121	7.694e-7
CNAG_04341	NA	172.098	0.059	0.165	0.7731
CNAG_04342	NA	43.638	0.066	0.295	0.8602
CNAG_04343	NA	84.19	-0.274	0.221	0.2796
CNAG_04344	NA	126.415	0.198	0.186	0.3582
CNAG_04345	ARO8001	191.137	-0.983	0.166	1.164e-8
CNAG_04346	NA	124.31	-0.457	0.191	0.0289
CNAG_04347	NA	682.862	0.958	0.112	8.112e-17
CNAG_04348	NA	606.743	1.703	0.122	1.145e-42
CNAG_04349	NA	280.21	0.131	0.145	0.443
CNAG_04350	NA	287.783	-1.516	0.143	4.772e-25
CNAG_04351	NA	65.454	-0.67	0.257	0.01613
CNAG_04352	ZAP103	136.684	-0.048	0.175	0.8282
CNAG_04353	CLR1	175.388	-1.452	0.175	9.471e-16
CNAG_04354	XPP1	433.062	-0.394	0.139	0.008702
CNAG_04355	NA	143.525	0.835	0.197	6.284e-5
CNAG_04356	NA	520.764	0.275	0.13	0.05558
CNAG_04357	NA	11.618	-0.147	0.567	0.8384
CNAG_04358	ATM1	314.306	0.486	0.137	8.483e-4
CNAG_04359	NA	165.67	-0.933	0.19	2.954e-6
CNAG_04360	NA	171.875	1.212	0.168	3.092e-12
CNAG_04361	NA	274.883	0.947	0.144	2.205e-10
CNAG_04362	NA	1795.81	0.03	0.099	0.8131
CNAG_04363	NA	17.915	-1.58	0.502	0.00338
CNAG_04364	NA	1230.194	0.322	0.105	0.004272
CNAG_04365	NA	391.333	0.81	0.126	5.37e-10
CNAG_04366	NA	2028.244	0.422	0.114	5.173e-4
CNAG_04367	NA	90.475	0.626	0.223	0.009501
CNAG_04368	NA	448.698	0.394	0.126	0.003618
CNAG_04369	NA	338.911	0.592	0.137	4.585e-5
CNAG_04370	NA	1745.694	0.86	0.101	9.468e-17
CNAG_04371	HSV2	292.759	-1.142	0.138	8.185e-16
CNAG_04372	NA	648.021	1.265	0.115	3.549e-27
CNAG_04373	NA	3308.864	0.867	0.116	4.28e-13
CNAG_04374	NA	49.592	-0.377	0.301	0.2743
CNAG_04375	NA	630.169	0.782	0.133	1.766e-8
CNAG_04376	NA	489.721	1.31	0.12	8.739e-27
CNAG_04377	NA	319.459	-0.293	0.139	0.0565
CNAG_04378	NA	1946.099	1.214	0.105	8.882999999999999e-30
CNAG_04379	NA	2071.21	-0.467	0.155	0.005099
CNAG_04380	NA	1145.19	-1.752	0.107	2.056e-58
CNAG_04381	NA	89.896	0.41	0.206	0.07249
CNAG_04382	NA	131.916	0.125	0.195	0.5958
CNAG_04383	NA	1066.728	1.369	0.118	1.0229999999999999e-29
CNAG_04384	NA	243.082	0.845	0.157	2.518e-7
CNAG_04385	NA	0	NA	NA	NA
CNAG_04386	NA	174.532	-1.097	0.201	1.717e-7
CNAG_04387	NA	163.718	0.76	0.178	5.538e-5
CNAG_04388	SOD2	1208.811	-0.286	0.101	0.00888
CNAG_04389	NA	92.968	0.461	0.213	0.04887
CNAG_04392	MFE2	147.695	-0.942	0.179	4.803e-7
CNAG_04393	NA	367.954	-0.348	0.13	0.01354
CNAG_04394	NA	30.959	-1.563	0.391	1.619e-4
CNAG_04395	NA	835.651	0.956	0.104	3.351e-19
CNAG_04396	NA	144.6	-0.356	0.241	0.1925
CNAG_04397	NA	373.819	-0.589	0.135	3.68e-5
CNAG_04398	ARO80	1058.788	0.127	0.116	0.3433
CNAG_04399	NA	355.103	0.643	0.136	6.68e-6
CNAG_04400	NA	643.578	1.025	0.124	1.136e-15
CNAG_04401	NA	2698.428	-0.325	0.1	0.002497
CNAG_04402	NA	1598.951	-0.003	0.099	0.9842
CNAG_04403	NA	367.562	-1.218	0.157	6.174e-14
CNAG_04404	NA	5.985	-2.637	0.966	0.01155
CNAG_04405	NA	230.815	0.176	0.16	0.3432
CNAG_04406	NA	391.136	-0.47	0.128	5.565e-4
CNAG_04407	NA	230.697	-0.245	0.156	0.1613
CNAG_04408	CKI1	416.409	0.459	0.126	6.531e-4
CNAG_04409	NA	1208.345	-0.553	0.097	4.563e-8
CNAG_04410	NA	45.878	-0.288	0.309	0.4282
CNAG_04411	NA	144.928	-0.156	0.172	0.4409
CNAG_04412	NA	64.346	-0.049	0.262	0.8845
CNAG_04413	NA	23.961	-1.973	0.448	2.974e-5
CNAG_04414	NA	163.126	-0.793	0.171	1.086e-5
CNAG_04415	NA	190.961	-0.504	0.177	0.008223
CNAG_04416	NA	29.373	-0.311	0.371	0.4791
CNAG_04417	NA	170.599	-1.305	0.184	6.643e-12
CNAG_04432	NA	300.886	-0.43	0.135	0.002919
CNAG_04433	YAK103	157.174	-0.57	0.173	0.002121
CNAG_04434	NA	151.214	0.082	0.174	0.6996
CNAG_04436	NA	368.125	-0.926	0.131	8.495e-12
CNAG_04437	NA	307.593	0.745	0.14	3.407e-7
CNAG_04438	NA	127.418	0.773	0.183	6.688e-5
CNAG_04439	NA	968.413	0.136	0.101	0.2391
CNAG_04440	NA	90.047	0.533	0.208	0.01824
CNAG_04441	NA	3650.838	1.042	0.301	0.001193
CNAG_04442	NA	1.311	-3.561	1.813	0.07606
CNAG_04443	NA	197.732	-0.487	0.16	0.004691
CNAG_04444	NA	1113.893	0.094	0.1	0.4209
CNAG_04445	NA	15899.751	1.748	0.113	2.629e-52
CNAG_04446	NA	52.158	0.469	0.273	0.1244
CNAG_04447	NA	241.225	-0.191	0.143	0.239
CNAG_04448	NA	18680.581	1.624	0.091	6.540999999999999e-69
CNAG_04449	HOC4	123.654	0.407	0.187	0.04802
CNAG_04450	NA	752.07	-0.228	0.124	0.09768
CNAG_04451	NA	360.945	0.373	0.146	0.019
CNAG_04452	RSM18	1180.585	1.096	0.144	2.049e-13
CNAG_04453	IPC1	316.962	0.082	0.138	0.628
CNAG_04454	NA	40.421	0.167	0.311	0.6608
CNAG_04455	NA	98.756	-0.106	0.206	0.6748
CNAG_04456	NA	183.104	-0.671	0.168	1.735e-4
