gene	geneName	baseMean	log2FC	stderror	padj
CNAG_04671	NA	854.032	0.517	0.124	9.447e-5
CNAG_04673	NA	67.933	-0.167	0.238	0.5646
CNAG_04674	ADA3	117.225	0.289	0.199	0.2086
CNAG_04675	NA	3869.432	-3.458	0.171	7.124999999999999e-89
CNAG_04676	NA	843.997	0.227	0.126	0.1114
CNAG_04677	NA	73.314	0.887	0.245	8.138e-4
CNAG_04678	YPK1	669.017	0.079	0.131	0.6251
CNAG_04679	NA	353.831	0.439	0.137	0.003218
CNAG_04680	NA	129.17	0.053	0.192	0.8276
CNAG_04681	LPI14	487.595	-2.326	0.138	1.0609999999999998e-61
CNAG_04682	NA	211.523	0.338	0.157	0.05343
CNAG_04683	NA	895.15	0.811	0.125	6.655e-10
CNAG_04684	SEC23	2466.999	0.482	0.147	0.002603
CNAG_04686	NA	221.172	0.156	0.154	0.3949
CNAG_04687	NA	2336.406	0.667	0.128	8.068e-7
CNAG_04688	NA	25.832	-1.752	0.415	8.177e-5
CNAG_04689	NA	129.633	0.643	0.214	0.00593
CNAG_04690	NA	110.128	0.091	0.207	0.7294
CNAG_04691	NA	24.799	0.062	0.372	0.8993
CNAG_04692	NA	483.651	1.151	0.139	1.45e-15
CNAG_04693	SIN1	197.033	0.226	0.166	0.2396
CNAG_04694	NA	1206.869	0.83	0.142	3.097e-8
CNAG_04695	NA	83.674	-1.451	0.236	5.593e-9
CNAG_04696	NA	195.692	0.025	0.165	0.9075
CNAG_04697	NA	354.915	0.494	0.136	7.739e-4
CNAG_04698	NA	976.347	0.754	0.12	2.172e-9
CNAG_04699	NA	113.119	0.082	0.198	0.7441
CNAG_04700	NA	312.371	0.586	0.139	8.753e-5
CNAG_04701	NA	316.472	0.169	0.143	0.3157
CNAG_04702	NA	166.97	-0.629	0.175	8.987e-4
CNAG_04703	NA	833.137	0.453	0.135	0.00199
CNAG_04704	NA	58.223	-4.31	0.695	3.967e-9
CNAG_04705	NA	292.379	0.309	0.165	0.09784
CNAG_04707	NA	106.169	0.194	0.197	0.4087
CNAG_04708	NA	383.74	0.475	0.132	8.373e-4
CNAG_04709	NA	1342.065	0.775	0.122	1.367e-9
CNAG_04710	NA	246.225	0.449	0.152	0.006959
CNAG_04711	NA	6.068	-0.41	0.716	0.6456
CNAG_04712	NA	176.432	0.584	0.174	0.001956
CNAG_04713	NA	154.76	-0.065	0.179	0.7748
CNAG_04714	NA	146.324	0.177	0.201	0.466
CNAG_04715	NA	1814.409	0.164	0.113	0.2078
CNAG_04716	NA	452.652	-0.016	0.133	0.9268
CNAG_04717	NA	43.126	-1.069	0.306	0.001244
CNAG_04718	PCD101	131.043	-0.125	0.185	0.5794
CNAG_04719	NA	129.028	0.171	0.224	0.5301
CNAG_04720	NA	411.957	-0.184	0.147	0.2842
CNAG_04721	NA	515.174	0.382	0.137	0.0116
CNAG_04723	NA	203.453	-0.322	0.158	0.06934
CNAG_04724	NA	470.853	-0.826	0.151	2.262e-7
CNAG_04725	NA	210.831	-0.154	0.179	0.4759
CNAG_04726	NA	32048.636	0.814	0.318	0.02066
CNAG_04727	NA	16.156	-0.807	0.492	0.1511
CNAG_04728	NA	683.513	0.411	0.123	0.002037
CNAG_04729	NA	294.446	0.506	0.156	0.002833
CNAG_04730	GPR4	118.971	0.097	0.203	0.7045
CNAG_04731	PCD102	165.158	0.495	0.174	0.009497
CNAG_04732	PCD1	229.07	-0.062	0.162	0.7623
CNAG_04733	NA	439.806	-0.285	0.129	0.0468
CNAG_04734	NA	305.495	-0.175	0.144	0.3017
CNAG_04735	MEP1	1518.018	-3.972	0.165	1.2879999999999996e-125
CNAG_04736	NA	153.337	-1.23	0.202	7.125e-9
CNAG_04737	NA	703.054	-3.964	0.157	2.559999999999999e-137
CNAG_04738	SAC6	468.498	0.306	0.14	0.05006
CNAG_04739	NA	330.465	0.275	0.143	0.08964
CNAG_04740	NA	564.543	0.137	0.129	0.3707
CNAG_04741	NA	660.311	-1.183	0.158	7.483e-13
CNAG_04742	NA	153.368	0.769	0.182	7.855e-5
CNAG_04743	NA	499.161	0.627	0.127	3.186e-6
CNAG_04744	NA	208.045	-1.248	0.168	1.289e-12
CNAG_04745	NA	149.11	-0.127	0.195	0.5974
CNAG_04746	NA	310.152	-0.668	0.146	1.718e-5
CNAG_04747	NA	378.458	-1.015	0.144	1.738e-11
CNAG_04748	NA	203.242	0.081	0.163	0.6947
CNAG_04749	NA	506.457	0.864	0.125	3.959e-11
CNAG_04750	NA	99.045	-1.297	0.215	1.029e-8
CNAG_04751	NA	480.095	-0.941	0.152	3.987e-9
CNAG_04752	NA	250.404	-0.262	0.164	0.1638
CNAG_04753	NA	78.649	0.27	0.236	0.3316
CNAG_04755	BCK1	593.427	-0.551	0.147	5.201e-4
CNAG_04756	NA	410.963	-3.041	0.165	1.7149999999999996e-73
CNAG_04757	NA	168.59	-0.751	0.177	7.536e-5
CNAG_04758	AMT2	68.235	0.827	0.252	0.002603
CNAG_04759	NA	0.149	1.378	4.08	0.7888
CNAG_04760	NA	1942.676	-0.819	0.11	9.364e-13
CNAG_04761	RAS2	759.668	0.357	0.123	0.007878
CNAG_04762	NA	12307.062	0.916	0.112	4.595e-15
CNAG_04763	PMT2	433.62	0.331	0.136	0.0289
CNAG_04764	NA	178.423	0.127	0.172	0.5462
CNAG_04765	NA	1367.757	-0.047	0.124	0.7625
CNAG_04766	NA	7.347	-1.706	0.773	0.04815
CNAG_04767	NA	631.106	0.562	0.146	3.406e-4
CNAG_04768	NA	171.132	0.338	0.184	0.1056
CNAG_04769	NA	134.872	-0.097	0.181	0.6684
CNAG_04770	NA	389.485	0.536	0.155	0.001401
CNAG_04771	NA	1069.586	0.132	0.125	0.3765
CNAG_04772	NA	162.605	0.412	0.17	0.02913
CNAG_04773	NA	15.208	-0.697	0.524	0.2525
CNAG_04774	FZC26	569.948	-0.263	0.146	0.1121
CNAG_04775	NA	357.515	-0.403	0.162	0.02469
CNAG_04776	NA	1288.508	0.487	0.147	0.002383
CNAG_04777	NA	141.23	0.564	0.179	0.003896
CNAG_04781	NA	55.86	-0.342	0.267	0.2717
CNAG_04782	PPU1	616.858	0.026	0.14	0.8867
CNAG_04783	NA	161.31	0.168	0.173	0.4146
CNAG_04784	NA	16.098	-0.94	0.461	0.06946
CNAG_04785	NA	148.244	0.631	0.188	0.002047
CNAG_04786	NA	452.41	0.144	0.143	0.3954
CNAG_04787	NA	69.218	-0.778	0.24	0.002847
CNAG_04788	NA	1194.668	0.56	0.123	1.966e-5
CNAG_04789	NA	170.589	-0.228	0.171	0.2519
CNAG_04790	EZA1	171.586	0.62	0.177	0.001189
CNAG_04791	NA	161.542	0.378	0.194	0.08414
CNAG_04792	NA	215.664	-0.371	0.209	0.117
CNAG_04793	NA	72.821	-1.483	0.26	6.574e-8
CNAG_04794	NA	742.656	-2.059	0.147	6.492e-43
CNAG_04795	NA	259.009	-0.408	0.155	0.0169
CNAG_04796	CNA1	612.539	0.22	0.119	0.1027
CNAG_04797	NA	1402.597	0.515	0.123	8.947e-5
CNAG_04798	NA	3136.869	-0.468	0.115	1.48e-4
CNAG_04799	NA	18573.228	0.963	0.111	5.15e-17
CNAG_04800	NA	1979.8	0.246	0.123	0.07526
CNAG_04801	NA	809.129	0.321	0.131	0.02726
CNAG_04802	NA	498.292	0.577	0.138	9.271e-5
CNAG_04803	NA	993.288	0.124	0.112	0.3506
CNAG_04804	SRE1	439.095	-0.487	0.167	0.00778
CNAG_04805	NA	162.607	0.322	0.171	0.09561
CNAG_04806	NA	1612.084	0.221	0.122	0.1099
CNAG_04807	FZC8	249.871	-0.734	0.206	9.776e-4
CNAG_04808	MKT1	760.32	0.093	0.116	0.5071
CNAG_04809	NA	421.656	-0.253	0.147	0.1302
CNAG_04810	NA	217.568	-0.263	0.161	0.1528
CNAG_04813	NA	1262.78	0.59	0.158	5.642e-4
CNAG_04814	NA	156.294	0.22	0.181	0.3016
CNAG_04815	BNI1	247.571	-0.264	0.156	0.1363
CNAG_04816	NA	667.353	-1.167	0.125	1.523e-19
CNAG_04817	NA	774.75	0.622	0.128	4.548e-6
CNAG_04818	NA	229.879	-1.247	0.172	4.118e-12
CNAG_04819	NA	144.654	-0.76	0.198	3.648e-4
CNAG_04820	NA	426.013	0.446	0.131	0.001643
CNAG_04821	PAN3	1189.548	0.419	0.127	0.00241
CNAG_04822	NA	102.259	0.433	0.2	0.05303
CNAG_04823	NA	425.316	0.813	0.136	1.571e-8
CNAG_04824	NA	389.035	0.838	0.152	1.905e-7
CNAG_04825	NA	249.398	0.516	0.17	0.005516
CNAG_04826	NA	232.607	-0.161	0.163	0.4085
CNAG_04827	NA	272.348	0.042	0.152	0.8279
CNAG_04828	H3.3	9072.551	-0.323	0.112	0.008136
CNAG_04829	NA	34.759	-0.075	0.326	0.8588
CNAG_04830	NA	555.033	0.553	0.176	0.003942
CNAG_04831	NA	112.221	-0.639	0.198	0.003059
CNAG_04832	NA	515.949	0.145	0.128	0.3368
CNAG_04833	TEP1	169.151	-1.076	0.204	6.572e-7
CNAG_04834	NA	72.03	-0.623	0.232	0.01479
CNAG_04835	NA	88.595	-1.119	0.242	1.534e-5
CNAG_04836	FZC10	88.646	0.418	0.21	0.07737
CNAG_04837	MLN1	72.802	-4.437	0.429	1.151e-23
CNAG_04838	NA	488.952	-0.04	0.124	0.7957
CNAG_04839	NA	395.469	0.145	0.144	0.3954
CNAG_04840	NA	2602.623	0.082	0.13	0.6078
CNAG_04841	FZC43	206.698	0.134	0.173	0.5246
CNAG_04842	NA	222.762	-0.359	0.166	0.05322
CNAG_04843	NA	803.319	0.377	0.122	0.004756
CNAG_04844	NA	3747.544	0.37	0.101	6.704e-4
CNAG_04845	NA	220.445	0.354	0.167	0.05792
CNAG_04846	NA	282.476	-0.527	0.146	8.163e-4
CNAG_04847	NA	205.091	0.291	0.158	0.104
CNAG_04848	NA	933.5	-0.016	0.196	0.9528
CNAG_04849	NA	339.079	-0.619	0.156	2.309e-4
CNAG_04850	NA	56.362	-0.682	0.259	0.01705
CNAG_04851	NA	4489.911	-0.276	0.105	0.01734
CNAG_04852	NDX4	239.249	0.198	0.165	0.3074
CNAG_04853	NA	213.867	-0.334	0.163	0.06808
CNAG_04855	NA	84.434	-0.427	0.224	0.0917
