ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005886	plasma membrane	50	5	CNAG_00979,CNAG_02217,CNAG_02775,CNAG_06242,CNAG_07701,	10.0	6.81	7.92	0.000753902463597	0.00904682956316	0.00904682956316
GO:0005576	extracellular region	111	6	CNAG_00601,CNAG_01539,CNAG_02775,CNAG_02958,CNAG_06000,CNAG_06241,	5.4	3.68	4.08	0.00547316651424	0.0328389990854	0.0656779981709
GO:0005575	cellular component	2996	54	CNAG_00601,CNAG_00699,CNAG_00749,CNAG_00815,CNAG_00867,CNAG_00876,CNAG_00979,CNAG_01242,CNAG_01384,CNAG_01539,CNAG_01653,CNAG_01668,CNAG_01698,CNAG_01751,CNAG_02083,CNAG_02104,CNAG_02217,CNAG_02775,CNAG_02934,CNAG_02958,CNAG_03498,CNAG_03772,CNAG_04092,CNAG_04103,CNAG_04142,CNAG_04337,CNAG_04622,CNAG_04911,CNAG_04920,CNAG_05075,CNAG_05138,CNAG_05304,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05411,CNAG_05479,CNAG_05662,CNAG_05867,CNAG_05914,CNAG_05929,CNAG_06000,CNAG_06102,CNAG_06241,CNAG_06242,CNAG_06336,CNAG_06524,CNAG_06539,CNAG_06821,CNAG_07334,CNAG_07335,CNAG_07519,CNAG_07701,CNAG_07830,	1.8	1.23	1.83	0.0110224618366	0.0440898473463	0.132269542039
