ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0055085	transmembrane transport	350	23	CNAG_00749,CNAG_00815,CNAG_00867,CNAG_00979,CNAG_01384,CNAG_02083,CNAG_03772,CNAG_04092,CNAG_04103,CNAG_04142,CNAG_04920,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05662,CNAG_05867,CNAG_05914,CNAG_05929,CNAG_06102,CNAG_06242,CNAG_06539,CNAG_07519,CNAG_07701,	6.6	4.48	6.37	3.61184488151e-10	4.69539834597e-09	4.69539834597e-09
GO:0005975	carbohydrate metabolic process	140	7	CNAG_01539,CNAG_04621,CNAG_05138,CNAG_05264,CNAG_05411,CNAG_05458,CNAG_06336,	5.0	3.41	3.79	0.00418330030721	0.025311391984	0.0543829039938
GO:0008150	biological process	3075	56	CNAG_00749,CNAG_00815,CNAG_00867,CNAG_00871,CNAG_00876,CNAG_00979,CNAG_01014,CNAG_01242,CNAG_01384,CNAG_01539,CNAG_02045,CNAG_02083,CNAG_02217,CNAG_02775,CNAG_02893,CNAG_03230,CNAG_03233,CNAG_03498,CNAG_03772,CNAG_04092,CNAG_04103,CNAG_04142,CNAG_04213,CNAG_04388,CNAG_04621,CNAG_04861,CNAG_04920,CNAG_05075,CNAG_05138,CNAG_05264,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05411,CNAG_05431,CNAG_05458,CNAG_05479,CNAG_05662,CNAG_05676,CNAG_05867,CNAG_05872,CNAG_05914,CNAG_05929,CNAG_06000,CNAG_06102,CNAG_06241,CNAG_06242,CNAG_06336,CNAG_06524,CNAG_06539,CNAG_06632,CNAG_06821,CNAG_07334,CNAG_07519,CNAG_07701,CNAG_07830,	1.8	1.24	1.97	0.00584109045784	0.025311391984	0.0759341759519
GO:0071554	cell wall organization or biogenesis	40	3	CNAG_02217,CNAG_05431,CNAG_06241,	7.5	5.11	5.63	0.0203400351134	0.0661051141185	0.264420456474
