ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0003735	structural constituent of ribosome	128	24	CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_04068,CNAG_04114,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,	18.8	21.29	54.52	9.78179776131e-28	1.17381573136e-26	1.17381573136e-26
GO:0005198	structural molecule activity	155	24	CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_04068,CNAG_04114,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,	15.5	17.58	43.04	1.32360365365e-25	7.9416219219e-25	1.58832438438e-24
GO:0003674	molecular function	3820	41	CNAG_00021,CNAG_00063,CNAG_00232,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01023,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01577,CNAG_01628,CNAG_01656,CNAG_01915,CNAG_01976,CNAG_01990,CNAG_02317,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_04068,CNAG_04114,CNAG_04348,CNAG_04441,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05144,CNAG_05465,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06112,CNAG_06447,CNAG_06608,CNAG_06645,CNAG_06745,CNAG_07362,	1.1	1.22	3.49	0.00523255354931	0.016684538312	0.0627906425918
GO:0019843	rRNA binding	13	2	CNAG_03015,CNAG_03053,	15.4	17.47	21.37	0.00556151277068	0.016684538312	0.0667381532482
GO:0003723	RNA binding	307	7	CNAG_00232,CNAG_01628,CNAG_01990,CNAG_03015,CNAG_03053,CNAG_04441,CNAG_07362,	2.3	2.59	2.93	0.0166525222298	0.0399660533516	0.199830266758
