ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005840	ribosome	142	25	CNAG_00232,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_04068,CNAG_04114,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,	17.6	19.99	52.86	2.83972732815e-28	3.12370006096e-27	3.12370006096e-27
GO:0005576	extracellular region	111	10	CNAG_00232,CNAG_00771,CNAG_00779,CNAG_01480,CNAG_01577,CNAG_04114,CNAG_04762,CNAG_05762,CNAG_06095,CNAG_06447,	9.0	10.23	14.04	2.62479806461e-08	1.14187417615e-07	2.88727787107e-07
GO:0043226	organelle	1482	31	CNAG_00063,CNAG_00232,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01023,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01577,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_03921,CNAG_04068,CNAG_04114,CNAG_04348,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,CNAG_06745,	2.1	2.38	5.52	3.11420229859e-08	1.14187417615e-07	3.42562252845e-07
GO:0005622	intracellular anatomical structure	1664	31	CNAG_00063,CNAG_00232,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01023,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_03921,CNAG_04068,CNAG_04114,CNAG_04348,CNAG_04441,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,CNAG_06745,	1.9	2.12	4.65	5.90125541138e-07	1.62284523813e-06	6.49138095252e-06
GO:0005575	cellular component	2996	34	CNAG_00063,CNAG_00232,CNAG_00672,CNAG_00771,CNAG_00779,CNAG_00821,CNAG_01023,CNAG_01152,CNAG_01300,CNAG_01480,CNAG_01577,CNAG_01628,CNAG_01976,CNAG_01990,CNAG_02330,CNAG_02811,CNAG_02917,CNAG_03015,CNAG_03053,CNAG_03221,CNAG_03921,CNAG_04068,CNAG_04114,CNAG_04348,CNAG_04441,CNAG_04445,CNAG_04726,CNAG_04762,CNAG_05556,CNAG_05762,CNAG_06095,CNAG_06447,CNAG_06745,CNAG_07990,	1.1	1.29	2.19	0.0134077756368	0.029497106401	0.147485532005
GO:0005694	chromosome	91	3	CNAG_00063,CNAG_01023,CNAG_06745,	3.3	3.74	4.04	0.0453003084634	0.0830505655163	0.498303393098
