ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0016491	oxidoreductase activity	430	73	CNAG_00154,CNAG_00156,CNAG_00269,CNAG_00275,CNAG_00515,CNAG_00605,CNAG_00654,CNAG_00863,CNAG_00876,CNAG_00979,CNAG_01075,CNAG_01097,CNAG_01102,CNAG_01112,CNAG_01257,CNAG_01294,CNAG_01540,CNAG_01542,CNAG_01714,CNAG_01745,CNAG_01794,CNAG_01952,CNAG_02049,CNAG_02592,CNAG_02602,CNAG_02692,CNAG_02708,CNAG_02775,CNAG_02815,CNAG_02839,CNAG_02933,CNAG_03011,CNAG_03176,CNAG_03194,CNAG_03199,CNAG_03464,CNAG_03465,CNAG_03498,CNAG_03573,CNAG_03618,CNAG_03666,CNAG_03848,CNAG_03958,CNAG_03983,CNAG_04017,CNAG_04029,CNAG_04085,CNAG_04313,CNAG_04325,CNAG_04521,CNAG_04564,CNAG_04652,CNAG_05015,CNAG_05090,CNAG_05256,CNAG_05258,CNAG_05299,CNAG_05316,CNAG_05329,CNAG_05444,CNAG_05521,CNAG_06018,CNAG_06035,CNAG_06511,CNAG_06524,CNAG_06628,CNAG_06672,CNAG_06777,CNAG_06876,CNAG_07308,CNAG_07334,CNAG_07589,CNAG_07862,	17.0	1.82	2.17	1.11760399806e-07	2.90577039495e-06	2.90577039495e-06
GO:0016798	hydrolase activity, acting on glycosyl bonds	69	17	CNAG_00596,CNAG_00663,CNAG_00696,CNAG_02189,CNAG_02225,CNAG_03146,CNAG_03412,CNAG_04874,CNAG_05264,CNAG_05411,CNAG_05458,CNAG_05607,CNAG_05652,CNAG_05803,CNAG_06336,CNAG_06835,CNAG_07976,	24.6	2.64	3.26	0.000137154334454	0.0017830063479	0.00356601269581
GO:0022857	transmembrane transporter activity	356	53	CNAG_00025,CNAG_00284,CNAG_00651,CNAG_00749,CNAG_00864,CNAG_00979,CNAG_01232,CNAG_01545,CNAG_01742,CNAG_01759,CNAG_01862,CNAG_01960,CNAG_02430,CNAG_02586,CNAG_02733,CNAG_03090,CNAG_03110,CNAG_03135,CNAG_03572,CNAG_03713,CNAG_03805,CNAG_03910,CNAG_04092,CNAG_04098,CNAG_04103,CNAG_04142,CNAG_04209,CNAG_04552,CNAG_04616,CNAG_04704,CNAG_04867,CNAG_04920,CNAG_05075,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05662,CNAG_05718,CNAG_05929,CNAG_05982,CNAG_05992,CNAG_05994,CNAG_06102,CNAG_06119,CNAG_06265,CNAG_06485,CNAG_06557,CNAG_06652,CNAG_06758,CNAG_06776,CNAG_06963,CNAG_07641,CNAG_07701,	14.9	1.6	1.79	0.000292499047781	0.00253499174744	0.00760497524231
GO:0016829	lyase activity	97	17	CNAG_00164,CNAG_01108,CNAG_01854,CNAG_02230,CNAG_02708,CNAG_02768,CNAG_03413,CNAG_03519,CNAG_04096,CNAG_04217,CNAG_04835,CNAG_05260,CNAG_05303,CNAG_06448,CNAG_06540,CNAG_06868,CNAG_06870,	17.5	1.88	2.11	0.00747910234985	0.0486141652741	0.194456661096
