ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005576	extracellular region	111	21	CNAG_00581,CNAG_00601,CNAG_00663,CNAG_00776,CNAG_01230,CNAG_01562,CNAG_02030,CNAG_02189,CNAG_02775,CNAG_02966,CNAG_03058,CNAG_03223,CNAG_03464,CNAG_03465,CNAG_04380,CNAG_04625,CNAG_04735,CNAG_05156,CNAG_05799,CNAG_06000,CNAG_06291,	18.9	2.03	2.33	0.00116488554553	0.0172001593383	0.0267923675471
GO:0005886	plasma membrane	50	12	CNAG_00979,CNAG_02114,CNAG_02217,CNAG_02775,CNAG_03563,CNAG_03576,CNAG_04867,CNAG_05654,CNAG_05866,CNAG_06237,CNAG_06508,CNAG_07701,	24.0	2.58	3.13	0.00167441199377	0.0172001593383	0.0385114758566
GO:0005618	cell wall	4	3	CNAG_03464,CNAG_03465,CNAG_06336,	75.0	8.05	29.38	0.00299133205883	0.0172001593383	0.0688006373531
GO:0030312	external encapsulating structure	4	3	CNAG_03464,CNAG_03465,CNAG_06336,	75.0	8.05	29.38	0.00299133205883	0.0172001593383	0.0688006373531
