ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0022857	transmembrane transporter activity	356	80	CNAG_00284,CNAG_00539,CNAG_00598,CNAG_00651,CNAG_00726,CNAG_00844,CNAG_00864,CNAG_00898,CNAG_00905,CNAG_01002,CNAG_01232,CNAG_01384,CNAG_01759,CNAG_01835,CNAG_01862,CNAG_01925,CNAG_01936,CNAG_01960,CNAG_02254,CNAG_02288,CNAG_02363,CNAG_02430,CNAG_02586,CNAG_02733,CNAG_02764,CNAG_03090,CNAG_03135,CNAG_03398,CNAG_03565,CNAG_03572,CNAG_03713,CNAG_03772,CNAG_03838,CNAG_03910,CNAG_04092,CNAG_04098,CNAG_04103,CNAG_04142,CNAG_04472,CNAG_04536,CNAG_04546,CNAG_04597,CNAG_04616,CNAG_04704,CNAG_04794,CNAG_04920,CNAG_04947,CNAG_05075,CNAG_05119,CNAG_05324,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05662,CNAG_05718,CNAG_05867,CNAG_05929,CNAG_05982,CNAG_05992,CNAG_05993,CNAG_05994,CNAG_06020,CNAG_06102,CNAG_06119,CNAG_06259,CNAG_06292,CNAG_06323,CNAG_06415,CNAG_06485,CNAG_06521,CNAG_06539,CNAG_06557,CNAG_06776,CNAG_06890,CNAG_06932,CNAG_07641,CNAG_07693,CNAG_07799,CNAG_07869,CNAG_07874,	22.5	2.0	2.5	2.161645602e-10	5.83644312539e-09	5.83644312539e-09
GO:0016491	oxidoreductase activity	430	81	CNAG_00131,CNAG_00154,CNAG_00161,CNAG_00162,CNAG_00247,CNAG_00269,CNAG_00275,CNAG_00515,CNAG_00605,CNAG_00654,CNAG_00863,CNAG_00879,CNAG_00984,CNAG_01097,CNAG_01102,CNAG_01112,CNAG_01116,CNAG_01138,CNAG_01257,CNAG_01542,CNAG_01558,CNAG_01745,CNAG_01794,CNAG_01952,CNAG_02147,CNAG_02562,CNAG_02590,CNAG_02592,CNAG_02602,CNAG_02708,CNAG_02815,CNAG_02839,CNAG_02933,CNAG_03011,CNAG_03050,CNAG_03199,CNAG_03243,CNAG_03400,CNAG_03464,CNAG_03465,CNAG_03498,CNAG_03618,CNAG_03666,CNAG_03848,CNAG_03958,CNAG_04085,CNAG_04112,CNAG_04325,CNAG_04417,CNAG_04523,CNAG_04561,CNAG_04652,CNAG_04688,CNAG_04981,CNAG_05015,CNAG_05256,CNAG_05258,CNAG_05299,CNAG_05315,CNAG_05321,CNAG_05521,CNAG_05721,CNAG_05842,CNAG_06010,CNAG_06018,CNAG_06169,CNAG_06238,CNAG_06249,CNAG_06374,CNAG_06431,CNAG_06511,CNAG_06529,CNAG_06628,CNAG_06672,CNAG_06759,CNAG_06777,CNAG_07308,CNAG_07316,CNAG_07589,CNAG_07747,CNAG_07862,	18.8	1.68	1.97	7.92344800757e-07	1.06966548102e-05	2.13933096204e-05
GO:0016798	hydrolase activity, acting on glycosyl bonds	69	20	CNAG_00393,CNAG_00663,CNAG_01758,CNAG_02225,CNAG_02283,CNAG_02587,CNAG_03412,CNAG_04874,CNAG_04879,CNAG_05138,CNAG_05264,CNAG_05369,CNAG_05607,CNAG_05652,CNAG_05803,CNAG_05891,CNAG_06336,CNAG_06835,CNAG_06931,CNAG_07600,	29.0	2.58	3.31	4.19147190844e-05	0.00037723247176	0.00113169741528
GO:0016829	lyase activity	97	19	CNAG_00834,CNAG_01348,CNAG_02230,CNAG_02708,CNAG_02768,CNAG_03067,CNAG_03413,CNAG_03519,CNAG_04096,CNAG_04206,CNAG_04217,CNAG_04501,CNAG_04659,CNAG_04835,CNAG_05168,CNAG_05260,CNAG_05303,CNAG_06448,CNAG_06868,	19.6	1.74	1.96	0.0103565759616	0.0699068877407	0.279627550963
