ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0022857	transmembrane transporter activity	356	80	CNAG_00048,CNAG_00443,CNAG_00539,CNAG_00651,CNAG_00728,CNAG_00749,CNAG_00844,CNAG_00864,CNAG_00867,CNAG_00905,CNAG_00979,CNAG_01002,CNAG_01232,CNAG_01545,CNAG_01759,CNAG_01835,CNAG_01862,CNAG_01936,CNAG_01953,CNAG_01960,CNAG_02083,CNAG_02254,CNAG_02430,CNAG_02586,CNAG_02733,CNAG_03087,CNAG_03090,CNAG_03110,CNAG_03135,CNAG_03339,CNAG_03572,CNAG_03713,CNAG_03751,CNAG_03910,CNAG_03971,CNAG_04092,CNAG_04098,CNAG_04142,CNAG_04536,CNAG_04546,CNAG_04597,CNAG_04616,CNAG_04704,CNAG_04794,CNAG_04867,CNAG_04947,CNAG_05017,CNAG_05075,CNAG_05119,CNAG_05377,CNAG_05381,CNAG_05387,CNAG_05662,CNAG_05667,CNAG_05718,CNAG_05867,CNAG_05914,CNAG_05929,CNAG_05982,CNAG_05992,CNAG_05993,CNAG_05994,CNAG_06102,CNAG_06119,CNAG_06186,CNAG_06259,CNAG_06265,CNAG_06323,CNAG_06415,CNAG_06485,CNAG_06527,CNAG_06652,CNAG_06752,CNAG_06776,CNAG_06875,CNAG_07641,CNAG_07693,CNAG_07701,CNAG_07799,CNAG_07897,	22.5	1.96	2.43	6.67497494228e-10	1.66874373557e-08	1.66874373557e-08
GO:0016798	hydrolase activity, acting on glycosyl bonds	69	16	CNAG_00596,CNAG_00663,CNAG_00696,CNAG_01651,CNAG_01758,CNAG_02225,CNAG_03412,CNAG_04874,CNAG_05264,CNAG_05411,CNAG_05458,CNAG_05652,CNAG_05766,CNAG_06336,CNAG_06835,CNAG_07976,	23.2	2.02	2.36	0.00419921308217	0.0524901635272	0.104980327054
GO:0016491	oxidoreductase activity	430	66	CNAG_00141,CNAG_00154,CNAG_00269,CNAG_00275,CNAG_00452,CNAG_00515,CNAG_00605,CNAG_00654,CNAG_00863,CNAG_00876,CNAG_00979,CNAG_01075,CNAG_01112,CNAG_01116,CNAG_01257,CNAG_01542,CNAG_01714,CNAG_01794,CNAG_01949,CNAG_02489,CNAG_02602,CNAG_02692,CNAG_02708,CNAG_02775,CNAG_02839,CNAG_02841,CNAG_02933,CNAG_03011,CNAG_03050,CNAG_03187,CNAG_03199,CNAG_03464,CNAG_03465,CNAG_03498,CNAG_03666,CNAG_03848,CNAG_03874,CNAG_03958,CNAG_04085,CNAG_04313,CNAG_04325,CNAG_04417,CNAG_04521,CNAG_04561,CNAG_04564,CNAG_04652,CNAG_04688,CNAG_05015,CNAG_05090,CNAG_05258,CNAG_05299,CNAG_05315,CNAG_05316,CNAG_05521,CNAG_06010,CNAG_06018,CNAG_06035,CNAG_06249,CNAG_06250,CNAG_06628,CNAG_06777,CNAG_06836,CNAG_07308,CNAG_07334,CNAG_07604,CNAG_07862,	15.3	1.34	1.45	0.00685034296276	0.0570861913563	0.171258574069
GO:0003700	DNA-binding transcription factor activity	162	28	CNAG_00239,CNAG_00559,CNAG_00732,CNAG_00828,CNAG_01242,CNAG_01487,CNAG_01511,CNAG_01977,CNAG_02525,CNAG_02774,CNAG_02877,CNAG_03059,CNAG_03346,CNAG_03894,CNAG_04093,CNAG_04457,CNAG_04594,CNAG_04819,CNAG_04908,CNAG_04916,CNAG_05066,CNAG_05479,CNAG_05861,CNAG_05990,CNAG_06276,CNAG_07583,CNAG_07867,CNAG_07921,	17.3	1.5	1.64	0.0166110617753	0.103819136096	0.415276544383
