ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005886	plasma membrane	50	16	CNAG_00979,CNAG_01672,CNAG_02114,CNAG_02217,CNAG_02775,CNAG_03326,CNAG_03576,CNAG_04867,CNAG_05229,CNAG_05654,CNAG_05866,CNAG_06237,CNAG_06424,CNAG_06508,CNAG_06752,CNAG_07701,	32.0	2.79	3.7	8.67782489311e-05	0.00190912147648	0.00190912147648
GO:0005618	cell wall	4	3	CNAG_03464,CNAG_03465,CNAG_06336,	75.0	6.53	23.23	0.00551825670103	0.0404672158076	0.121401647423
GO:0030312	external encapsulating structure	4	3	CNAG_03464,CNAG_03465,CNAG_06336,	75.0	6.53	23.23	0.00551825670103	0.0404672158076	0.121401647423
