ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006790	sulfur compound metabolic process	58	5	CNAG_00021,CNAG_01890,CNAG_03592,CNAG_05059,CNAG_05070,	8.6	5.31	6.02	0.0023370426653	0.0228125986949	0.0397297253101
GO:0006520	cellular amino acid metabolic process	149	8	CNAG_00879,CNAG_01890,CNAG_02048,CNAG_02851,CNAG_04082,CNAG_05070,CNAG_05509,CNAG_05602,	5.4	3.31	3.7	0.00268383514058	0.0228125986949	0.0456251973898
GO:0042254	ribosome biogenesis	103	5	CNAG_01104,CNAG_04114,CNAG_06379,CNAG_06919,CNAG_07413,	4.9	2.99	3.22	0.0253585883092	0.143698667086	0.431096001257
