gene
02566
00791
01069
07464
03401
04588
00828
03561
06762
06276
05785
03132
01438
07593
04837
05093
05642
05431
04398
04878
03183
03710
03279
04637
06425
04345
04184
02774
00670
00068
05010
04090
06134
04630
07901
01173
03115
07924
07435
02555
04594
06188
05170
02241
06921
05186
00896
00039
07940
06814
01454
03527
05255
05112
01883
04353
05375
03998
00239
06871
00156
04268
05420
00018
03346
00514
05538
03409
06339
07011
07506
04807
02435
02364
03116
02877
00559
03914
00871
06483
07797
05019
05380
04518
05176
05861
00460
02305
03849
01014
01858
06719
04093
04176
01431
07443
04916
05392
02322
04012
00505
06751
04841
03212
01626
03894
02066
06818
05940
01948
04804
04352
03768
01977
04895
04583
01973
02603
04036
06156
03431
07922
00031
03018
04263
01708
00332
07724
03902
03366
05222
05049
02516
04774
03059
00193
03336
03086
03229
01841
02476
05153
02700
04586
02723
03741
04457
06283
07411
04836
00841
06223
00830
01551
04908
00883
01317
02134
02671
02698
02936
03129
03261
03790
03826
04023
04130
04226
04600
04798
04864
05311
05436
05535
06097
06252
06327
07460
